,Rank,Title,Artist
0,1,Beautiful Things,Benson Boone
1,2,End Of Beginning,Djo
2,3,We Can't Be Friends (Wait For Your Love),Ariana Grande
3,4,Too Sweet,Hozier
4,5,Stick Season,Noah Kahan
5,6,Lose Control,Teddy Swims
6,7,Texas Hold 'Em,Beyonce
7,8,I Like The Way You Kiss Me,Artemas
8,9,Cruel Summer,Taylor Swift
9,10,Like That,"Future, Metro Boomin & Kendrick Lamar"
10,11,Greedy,Tate McRae
11,12,Scared To Start,Michael Marcagi
12,13,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
13,14,Lovin On Me,Jack Harlow
14,15,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
15,16,Something In The Orange,Zach Bryan
16,17,Prada,"casso, RAYE & D-Block Europe"
17,18,leavemealone,Fred again.. & Baby Keem
18,19,II Most Wanted,Beyonce & Miley Cyrus
19,20,Stumblin' In,CYRIL
20,21,Saturn,SZA
21,22,Austin,Dasha
22,23,Home,Good Neighbours
23,24,Last Night,Morgan Wallen
24,25,Water,Tyla
