,Rank,Title,Artist
0,1,I Like The Way You Kiss Me,Artemas
1,2,Beautiful Things,Benson Boone
2,3,End Of Beginning,Djo
3,4,Stumblin' In,CYRIL
4,5,Texas Hold 'Em,Beyonce
5,6,Belong Together,Mark Ambor
6,7,Unwritten,Natasha Bedingfield
7,8,Lose Control,Teddy Swims
8,9,Kussen,"01099, Gustav & Zachi"
9,10,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
10,11,Prada,"casso, RAYE & D-Block Europe"
11,12,Too Sweet,Hozier
12,13,Greedy,Tate McRae
13,14,Vois Sur Ton Chemin (Techno Mix),BENNETT
14,15,Austin,Dasha
15,16,"Zeit, Dass Sich Was Dreht",$OHO BANI & Herbert Groenemeyer
16,17,Thank You (Not So Bad),Dimitri Vegas & Like Mike x Tiesto x W&W & Dido
17,18,Scared To Start,Michael Marcagi
18,19,Overdrive,Ofenbach Featuring Norma Jean Martine
19,20,Like That,"Future, Metro Boomin & Kendrick Lamar"
20,21,We Can't Be Friends (Wait For Your Love),Ariana Grande
21,22,Let's Get Fkd Up,Alok x Mondello'G x CERES Featuring Tribbs
22,23,Slow It Down,Benson Boone
23,24,Another Vibe,Luciano & Omah Lay
24,25,Whatever,Kygo With Ava Max
