,Rank,Title,Artist
0,1,Beautiful Things,Benson Boone
1,2,I Like The Way You Kiss Me,Artemas
2,3,Texas Hold 'Em,Beyonce
3,4,Europapa,Joost
4,5,Lose Control,Teddy Swims
5,6,Prada,"casso, RAYE & D-Block Europe"
6,7,End Of Beginning,Djo
7,8,Greedy,Tate McRae
8,9,Stick Season,Noah Kahan
9,10,Stumblin' In,CYRIL
10,11,We Can't Be Friends (Wait For Your Love),Ariana Grande
11,12,Thank You (Not So Bad),Dimitri Vegas & Like Mike x Tiesto x W&W & Dido
12,13,Overdrive,Ofenbach Featuring Norma Jean Martine
13,14,Houdini,Dua Lipa
14,15,Mwaki,ZERB & Sofiya Nzau
15,16,Vois Sur Ton Chemin (Techno Mix),BENNETT
16,17,Het Beste Moet Nog Komen,Pommelien Thijs
17,18,Another Love,Tom Odell
18,19,Training Season,Dua Lipa
19,20,Ce Qu'on Etait,Pierre Garnier
20,21,Whatever,Kygo With Ava Max
21,22,Unwritten,Natasha Bedingfield
22,23,Petit Genie,"Jungeli Featuring Abou Debeing, Lossa, Alonzo & Imen Es"
23,24,Temps En Temps,Zola & Koba LaD
24,25,Water,Tyla
