,Rank,Title,Artist
0,1,Una Foto,Mesita X NICKI NICOLE X Tiago PZK X Emilia
1,2,Hola Perdida,Luck Ra X KHEA
2,3,Piel,Tiago PZK X Ke personajes
3,4,30 Grados,El Turko & Mandale Flow
4,5,Un Besito Mas,Salastkbron X Diel Paris
5,6,Gata Only,FloyyMenor X Cris Mj
6,7,Tal Para Cual,Salastkbron & Omar Varela
7,8,Luna,Feid & ATL Jacob
8,9,Sinverguenza,"Emanero, Angela Torres, Karina & J mena"
9,10,Que Me Falte Todo,Luck Ra X Abel Pintos
10,11,La_Original.mp3,Emilia & TINI
11,12,Mil Preguntas,The La Planta X Luana
12,13,Primer Aviso,Maria Becerra x Ivy Queen
13,14,La Morocha,Luck Ra Featuring BM
14,15,Que Sed,Luck Ra X Ulises Bueno
15,16,Piscina,"Maria Becerra, Ovy On The Drums & Chencho Corleon"
16,17,El Amor de Mi Vida,Los Angeles Azules y Maria Becerra
17,18,DJ Tao Sessions #22,DJ Tao & Roze Oficial
18,19,La Falda,Myke Towers
19,20,M.A.I,Milo j
20,21,Exclusive.mp3,Emilia
21,22,Inocente,Roze X Peipper
22,23,"Bzrp Music Sessions, Vol. 58",Bizarrap & Young Miko
23,24,Sin Querer,Fer Vazquez x Flor Alvarez
24,25,Linda (Remix),"Marka Akme, Migrantes, Lauty Gram, Peipper & DJ Tao"
25,26,Ya No Vuelvas,Luck Ra Featuring La K'Onga & Ke Personajes
26,27,Tu y Yo,KHEA & Emilia
27,28,El Super Junte,"Gusty dj, L-Gante, Callejero Fino, Lauty Gram, R Jota, Salas, Doble P, Lola OG & Alejo Isakk"
28,29,Bronceado (Remix),"Marama, Robleis & MYA"
29,30,Atorrante,"Emanero, Ulises Bueno, Migrantes & Los Palmeras"
30,31,Omar Algo Anda Mal #9 El Negro Tecla,Omar Varela & El Negro Tecla
31,32,Corazon Vacio,Maria Becerra
32,33,Un Finde: Big One CROSSOVER #2,Ke personajes X Big One X FMK
33,34,Ahi Ahi,"El Negro Tecla, Dj Tao, Pablo Lescano, L-Gante, La T y La M"
34,35,Daytona,Cris Mj
35,36,Flechazo En El Centro,"YSY A, Bhavi & Milo j"
36,37,Pa,TINI
37,38,Nena Sad,ORO600 Featuring Pablo Chill-E
38,39,Ojitos Rojos,Grupo Frontera & Ke personajes
39,40,Carta de Despedida,LIT killah x Milo j x RONNY J
40,41,Los del Espacio,"LIT killah, Maria Becerra, FMK, Rusherking, Duki, Emilia, Tiago pzk & Big One"
41,42,Quemaras,WOS & Indio Solari
42,43,Mentiras: CROSSOVER #3,Ulises Bueno X Big One X Rusher King
43,44,Uh La La La,"Doble P, Salas X Gusty Dj"
44,45,Cuarteto Sessions #3,Q'Lokura
45,46,Adios,Maria Becerra & Rafaga
46,47,Contigo,Karol G & Tiesto
47,48,Mamichula,"Trueno & Nicki Nicole Featuring Taiu, Bizarrap & Tatool"
48,49,Por Mil Noches,Airbag
49,50,Bad Boy,Sayian Jimmy X Nysix Music
50,51,Bellakeo,Peso Pluma & Anitta
51,52,Diabolica,Cris Mj Featuring Dei V
52,53,A Puro Dolor,"Rusherking, Emanero & Angel Lopez"
53,54,Adicto,"Emanero, La Konga & Antonio Rios"
54,55,Asi Es La Vida,Enrique Iglesias & Maria Becerra
55,56,Latte,"Dalex, Lenny Tavarez, Sech, Justin Quiles, Dimelo Flow & Maria Becerra"
56,57,Training Season,Dua Lipa
57,58,Lollipop,"Darell, Ozuna & Maluma"
58,59,Pobre Corazon,Ke personajes Featuring Onda Sabanera
59,60,La Bachata,Manuel Turizo
60,61,Punteria,Shakira & Cardi B
61,62,Buscando Money,TWENTY SIX & Tayson Kryss
62,63,Besos Con Fernet,Rusherking & Marama
63,64,A Las Nueve,No Te Va Gustar
64,65,GTA.mp3,Emilia
65,66,Columbia,Quevedo
66,67,Beautiful Things,Benson Boone
67,68,Fiesta Punky,Doble P X Pereira Remix
68,69,Todo Comenzo Bailando (Remix),Marama x Rafaga x Emanero
69,70,Doctor (Work It Out),Pharrell & Miley Cyrus
70,71,Quiero Creer,"Luck Ra, La T y La M & Rusherking"
71,72,Ponte Sata,Alejo Isakk + Doble P
72,73,En La Intimidad,Emilia X Big One X Callejero Fino
73,74,La Ranger,"Sech, Justin Quiles, Lenny Tavarez, Dalex, Dimelo Flow & Myke Towers"
74,75,Ni Una Ni Dos,BM
75,76,Mejor Que Ayer,Diego Torres
76,77,No Se Ve MP3,Emilia & LUDMILLA
77,78,Mentirosa,Rafaga & Maria Becerra
78,79,Le Gustan Lo' Flaites,El Joan Featuring Celso El Potente
79,80,Gafita y Chomba,Ponte Perro & Kaleb Di Masi
80,81,LaLa,Myke Towers
81,82,Con Vos,Rusherking & Flor Alvarez
82,83,M.A (Mejores Amigos),"BM, Callejero Fino, La Joaqui, Lola Índigo"
83,84,Ese Maldito Momento,No Te Va Gustar
84,85,Lagrimas CROSSOVER #4,BM X Big One X TINI
85,86,PLIS,Camilo & Evaluna Montaner
86,87,Kapun,Diego Torres & Carlos Vives
87,88,Rara Vez,Milo j
88,89,Flowers,Miley Cyrus
89,90,Fria,Enrique X Yotuel
90,91,Flaca,Andres Calamaro & Alejandro Sanz
91,92,Mi Ex Tenia Razon,Karol G
92,93,Inocente,La Delio Valdez
93,94,Salgo A Bailar,FMK & Emilia
94,95,Como Eran Las Cosas,Babasonicos
95,96,Perro Negro,Bad Bunny & Feid
96,97,Tranky Funky,Trueno
97,98,Si No Estas,Inigo Quintero
98,99,Princesita de ...,"Jere Klein, Nickoog Clk, Lucky Brown & El Bai"
99,100,No Da Mas,"YSY A, Duki & Oniria Featuring Yesan"
