,Rank,Title,Artist
0,1,Havera Sinais,Jorge & Mateus & Lauana Prado
1,2,Diz Ai Qual E O Plano?,"MC IG, MC Luki, MC GP, MC Ryan SP, MC PH, MC Poze do Rodo, TrapLaudo, Oruam, MC GH Do 7 & MC Nego Micha"
2,3,Barulho Do Foguete,Ze Neto & Cristiano
3,4,Ram Tchum,"DENNIS, Ana Castela & MC GW"
4,5,Qual E O Seu Desejo?,Tz da Coronel Featuring Ryu The Runner
5,6,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado
6,7,"E Isso Bebe, Ta Certa!","MC IG, MC Ryan SP & MC PH Featuring DJ Glenner"
7,8,Aquariano Nato,"MC Saci, Complexo dos Hits & DJ Sammer Featuring mc pretchako"
8,9,Dois Tristes,Simone Mendes
9,10,De 10 Mulher 11 E Maluca,"MC Saci, MC Fahah, DJ Sammer & DJ LC"
10,11,Tenho Que Me Decidir,"MC PH, Borges, WIU, Pedro Lotto & WEY"
11,12,Entra Na Defender,Luan Pereira & MC Daniel
12,13,Lua,"Ana Castela, Hungria & Alok"
13,14,Anestesiado,Murilo Huff
14,15,MTG - Baby Eu Tava Na Rua Da Agua,TR E MC Menor RV
15,16,MTG Quero Te Encontrar,"Humberto & Ronaldo, mc mininin & Silvanno Salles"
16,17,Tum Ba Tum,"Tropa Do Bruxo, SMU, DJ Vitin Do PC, MC JF & MC Nahara"
17,18,Vazou Na Braquiara,Hugo & Guilherme
18,19,A Internet E Toxica,"MC Saci, mc pretchako, DJ LC & DJ JOAO DA INESTAN"
19,20,Role Na Favela de Nave,"Oruam, Didi & DJ LC da Roca Featuring MC K9, MC Smith & Mainstreet"
20,21,Amor Na Praia,Nattan
21,22,Daqui Pra Sempre,Manu & Simone Mendes
22,23,Nao Recomendo,Matheus & Kauan
23,24,Passada de Mao,Dilsinho & Ana Castela
24,25,Dia de Fluxo,"ArgoPlay, Ana Castela & LUDMILLA"
25,26,Canudinho,Gusttavo Lima & Ana Castela
26,27,Poc Poc,Pedro Sampaio
27,28,Torre Eiffel,Manu & Guilherme & Benuto
28,29,A Cerveja Abre Sozinha,Murilo Huff
29,30,Morena de Goiania,Hugo & Guilherme
30,31,Let's Go 4,"DJ GBR, MC IG, MC Ryan SP, MC PH, MC Davi, MC Luki, MC Don Juan, MC Kadu, Traplaudo, MC GP & MC GH Do7"
31,32,Lapada Dela,Grupo Menos E Mais & Matheus Fernandes
32,33,Bencaos Que Nao Tem Fim (Counting My Blessings),Isadora Pompeo
33,34,Beautiful Things,Benson Boone
34,35,"Ola, Moca","MC IG, Veigh & Toledo"
35,36,Quase Algo (Ao Vivo Em Nova Iorque),Henrique & Juliano
36,37,Leao,Marilia Mendonca
37,38,We Can't Be Friends (Wait For Your Love),Ariana Grande
38,39,Fronteira,Ana Castela & Gustavo Mioto
39,40,Texas Hold 'Em,Beyonce
40,41,Dois Fugitivos,Simone Mendes
41,42,Erro Gostoso (Ao Vivo),Simone Mendes
42,43,Pega Escandaloso,Luan Santana EM Collab Com MC Kevin O Chris
43,44,Perna Bamba,Parangole & Leo Santana
44,45,"Deus, Por Favor","MC IG, MC Kevin, DJ WN Featuring MC PH"
