,Rank,Title,Artist
0,1,Come Un Tuono,Rose Villain Feat. Gue
1,2,L'Ultima Poesia,Geolier & Ultimo
2,3,100 Messaggi,Lazza
3,4,Tuta Gold,Mahmood
4,5,Dopo Le 4,"Tony Effe, Bresh & Tedua"
5,6,Sinceramente,Annalisa
6,7,"I P' Me, Tu P' Te",Geolier
7,8,Miu Miu,Tony Effe
8,9,Casa Mia,Ghali
9,10,La Noia,Angelina Mango
10,11,Click Boom!,Rose Villain
11,12,Un Ragazzo Una Ragazza,The Kolors
12,13,Pillole,"Tony Effe, Sfera Ebbasta & Geolier"
13,14,Ma Non Tutta La Vita,Ricchi E Poveri
14,15,Eva,"Kid Yugi, Tedua & Junior K"
15,16,Vai!,Alfa
16,17,Tu No,Irama
17,18,Beautiful Things,Benson Boone
18,19,Honey,"Tony Effe, Lazza & Capo Plaza"
19,20,Apnea,Emma
20,21,Diamanti Grezzi,Clara
21,22,Ma Che Idea,Bnkr44 & Pino D'Angiò
22,23,Tutto Qui,Gazzelle
23,24,Personale,Mahmood & Geolier
24,25,Gata Only,FloyyMenor X Cris Mj
25,26,El Matador,Elmatadormc7
26,27,Amore Mio,Rhove & Sfera Ebbasta Feat. Jul
27,28,Anche Stasera,Sfera Ebbasta
28,29,Lilith,Kid Yugi
29,30,Acqua Passata,Capo Plaza
30,31,Pazza,Loredana Berte
31,32,Devastante,Olly & Jvli
32,33,Carrara,Tony Effe & Simba La Rue
33,34,Rossofuoco,Mida
34,35,I Like The Way You Kiss Me,Artemas
35,36,Onda Alta,Dargen D'Amico
36,37,Due Altalene,Mr.Rain
37,38,Icon,Tony Effe
38,39,Everyday,"Takagi & Ketra Feat. Shiva, Anna & Geolier"
39,40,Bellissimissima,Alfa
40,41,In Italia 2024,Fabri Fibra Feat. Emma & Baby Gang
41,42,Moneylove,Massimo Pericolo Feat. Emis Killa
42,43,Cenere,Lazza
43,44,"Sogna, Ragazzo, Sogna",Roberto Vecchioni
44,45,Calcolatrici,Sfera Ebbasta
45,46,Fragili,Il Tre
46,47,Texas Hold 'Em,Beyonce
47,48,Ci Pensiamo Domani,Angelina Mango
48,49,Veleno,Tananai
49,50,End Of Beginning,Djo
50,51,Ale,Rhove & Capo Plaza
51,52,15 Piani,Sfera Ebbasta
52,53,Petit Fou Fou,Rhove & Anna
53,54,Ex Angelo,"Kid Yugi, Sfera Ebbasta & Shablo"
54,55,Lose Control,Teddy Swims
55,56,Due Vite,Marco Mengoni
56,57,Bon Ton,"Drillionaire, Lazza & Blanco Feat. Sfera Ebbasta & Michelangelo"
57,58,Sorry,Tony Effe
58,59,I Can Fly,Icy Subzero
59,60,Training Season,Dua Lipa
60,61,Buscando Money,TWENTY SIX & Tayson Kryss
61,62,Governo Punk,Bnkr44
62,63,Autodistruttivo,La Sad
63,64,Fino A Qui,Alessandra Amoroso
64,65,Come Vuoi,Geolier
65,66,Mon Amour,Annalisa
66,67,Nightmares,Bresh & Pinguini Tattici Nucleari
67,68,Tango,Tananai
68,69,00,Artie 5Ive
69,70,Disco Paradise,"Fedez, Annalisa & Articolo 31"
70,71,Mwaki,ZERB & Sofiya Nzau
71,72,Denaro,Kid Yugi & Simba La Rue
72,73,Paradiso Artificiale,Tedua Feat. Baby Gang & Kid Yugi
73,74,Maliciosa,Elmatadormc7
74,75,Un Briciolo Di Allegria,Blanco & Mina
75,76,Vestiti Da Rapper,Rhove & Gue
76,77,Capolavoro,Il Volo
77,78,Italodisco,The Kolors
78,79,2Minuti,Calcutta
79,80,Addo Staje,Le-One & Vtr
80,81,Nato Per Questo,Club Dogo & Marracash
81,82,Spingere,Il Pagante & Villabanks
82,83,Vetri Neri,"Ava, Anna & Capo Plaza"
83,84,Vero Tony Vero Sosa,Tony Effe
84,85,Che T'O Dico A Fa,Angelina Mango
85,86,Gta,Tony Effe & Ghali
86,87,Mariposa,Fiorella Mannoia
87,88,Balenciaga,Tony Effe & Rose Villain
88,89,Particolari Sporchi,Tony Effe
89,90,Ragazzi Fuori,Clara
90,91,We Can't Be Friends (Wait For Your Love),Ariana Grande
91,92,Rubami La Notte,Pinguini Tattici Nucleari
92,93,Chiagne,"Geolier Feat. Lazza, Takagi & Ketra"
93,94,Tornerai,Petit
94,95,Insta Lova,Marracash & Gue
95,96,Bellissima,Annalisa
96,97,Adderall,Rondodasosa
97,98,Se Ne Va,Nayt & 3D
98,99,Fantasmi,Rose Villain Feat. Geolier
99,100,Greedy,Tate McRae
