,Rank,Title,Artist
0,1,Piel,Tiago PZK X Ke personajes
1,2,Luna,Feid & ATL Jacob
2,3,Una Foto,Mesita X NICKI NICOLE X Tiago PZK X Emilia
3,4,Hola Perdida,Luck Ra X KHEA
4,5,Gata Only,FloyyMenor X Cris Mj
5,6,Segun Quien,Maluma & Carin Leon
6,7,La Falda,Myke Towers
7,8,ALV,Arcangel & Grupo Frontera
8,9,Mil Preguntas,The La Planta X Luana
9,10,La Diabla,Xavi
10,11,Ojitos Rojos,Grupo Frontera & Ke personajes
11,12,El Amor de Mi Vida,Los Angeles Azules y Maria Becerra
12,13,La Morocha,Luck Ra Featuring BM
13,14,Voy A Desaparecer,Luis Vega X Javvi Elias
14,15,Perro Negro,Bad Bunny & Feid
15,16,Qlona,Karol G & Peso Pluma
16,17,Bellakeo,Peso Pluma & Anitta
17,18,Un Finde   Crossover #2,Ke personajes X Big One X FMK
18,19,El Amor de Su Vida,Grupo Frontera & Grupo Firme
19,20,La Bachata,Manuel Turizo
20,21,La Ranger,"Sech, Justin Quiles, Lenny Tavarez, Dalex, Dimelo Flow & Myke Towers"
21,22,Ridiculo,Luis Vega
22,23,Amargura,Karol G
23,24,Ya No Vuelvas,Luck Ra
24,25,Mi Ex Tenia Razon,Karol G
