,Rank,Title,Artist
0,1,Beautiful Things,Benson Boone
1,2,Lose Control,Teddy Swims
2,3,Like That,"Future, Metro Boomin & Kendrick Lamar"
3,4,Too Sweet,Hozier
4,5,Texas Hold 'Em,Beyonce
5,6,Stick Season,Noah Kahan
6,7,Greedy,Tate McRae
7,8,We Can't Be Friends (Wait For Your Love),Ariana Grande
8,9,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
9,10,End Of Beginning,Djo
10,11,I Like The Way You Kiss Me,Artemas
11,12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
12,13,Lovin On Me,Jack Harlow
13,14,Houdini,Dua Lipa
14,15,Cruel Summer,Taylor Swift
15,16,Dial Drunk,Noah Kahan With Post Malone
16,17,II Most Wanted,Beyonce & Miley Cyrus
17,18,Last Night,Morgan Wallen
18,19,Jolene,Beyonce
19,20,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
20,21,Austin,Dasha
21,22,Fast Car,Luke Combs
22,23,Cinderella,"Future, Metro Boomin & Travis Scott"
23,24,Training Season,Dua Lipa
24,25,Scared To Start,Michael Marcagi
25,26,Whatever She Wants,Bryson Tiller
26,27,Saturn,SZA
27,28,Exes,Tate McRae
28,29,Obsessed,Olivia Rodrigo
29,30,FE!N,Travis Scott Featuring Playboi Carti
30,31,Where The Wild Things Are,Luke Combs
31,32,Redrum,21 Savage
32,33,Feather,Sabrina Carpenter
33,34,Water,Tyla
34,35,Slow It Down,Benson Boone
35,36,Vampire,Olivia Rodrigo
36,37,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
37,38,Selfish,Justin Timberlake
38,39,Lil Boo Thang,Paul Russell
39,40,Bodyguard,Beyonce
40,41,Levii's Jeans,Beyonce & Post Malone
41,42,Wind Up Missin' You,Tucker Wetmore
42,43,Act II: Date @ 8,4Batz Featuring Drake
43,44,Young Metro,"Future, Metro Boomin & The Weeknd"
44,45,Magnetic,ILLIT
45,46,Never Lose Me,Flo Milli
46,47,Blackbiird,"Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts"
47,48,We Don't Trust You,Future & Metro Boomin
48,49,Home,Good Neighbours
49,50,Northern Attitude,Noah Kahan With Hozier
50,51,Ameriican Requiem,Beyonce
51,52,"Yes, And?",Ariana Grande
52,53,Hotter Now,LU KALA
53,54,Daughter,Beyonce
54,55,Man Made A Bar,Morgan Wallen Featuring Eric Church
55,56,16 Carriages,Beyonce
56,57,Unwritten,Natasha Bedingfield
57,58,Spaghettii,"Beyonce, Linda Martell & Shaboozey"
58,59,Ya Ya,Beyonce
59,60,Belong Together,Mark Ambor
60,61,Praise Jah In The Moonlight,YG Marley
61,62,Lady Killers II (Christoph Andersson Remix),G-Eazy
62,63,One Call,Rich Amiri
63,64,The Boy Is Mine,Ariana Grande
64,65,Protector,Beyonce & Rumi Carter
65,66,I Luv It,Camila Cabello & Playboi Carti
66,67,Spin You Around (1/24),Morgan Wallen
67,68,Evergreen,Richy Mitch And The Coal Miners
68,69,Forever,Noah Kahan
69,70,Breathe,Yeat
70,71,Tyrant,Beyonce & Dolly Parton
71,72,Alliigator Tears,Beyonce
72,73,Bandit,Don Toliver
73,74,My Rose,Beyonce
74,75,Intro (End Of The World),Ariana Grande
75,76,What He'll Never Have,Dylan Scott
76,77,Yeah,Usher Featuring Lil Jon & Ludacris
77,78,All My Love,Noah Kahan
78,79,Just For Fun,Beyonce & Willie Jones
79,80,The Painter,Cody Johnson
80,81,Wildflowers And Wild Horses,Lainey Wilson
81,82,Murder On The Dancefloor,Sophie Ellis-Bextor
82,83,Riiverdance,Beyonce
83,84,So American,Olivia Rodrigo
84,85,You're Gonna Go Far,Noah Kahan
85,86,Pretty Little Poison,Warren Zeiders
86,87,Old Dirt Roads,Owen Riegling
87,88,Flamenco,Beyonce
88,89,Ice Attack,Future & Metro Boomin
89,90,Mamaw's House,Thomas Rhett Featuring Morgan Wallen
90,91,Sun To Me,Zach Bryan
91,92,Wine Into Whiskey,Tucker Wetmore
92,93,Dance Alone,Preston Pablo
93,94,Sweet * Honey * Buckiin',Beyonce & Shaboozey
94,95,If U Think I'm Pretty,Artemas
95,96,Coal,Dylan Gossett
96,97,Bye,Ariana Grande
97,98,II Hands II Heaven,Beyonce
98,99,Whatever,Kygo With Ava Max
99,100,Call Your Mom,Noah Kahan With Lizzy McAlpine
