,Rank,Title,Artist
0,1,Shen Lou,Zhou Shen
1,2,The Beast,Yan Haoxiang
2,3,Xiao Mei Man,Zhou Shen
3,4,Ruo Yue Liang Mei Lai (Ruo Shi Yue Liang Hai Mei Lai),"Qiao Juncheng, Wang Yuzhou Leto"
4,5,Shi Lian Xun Huan,Song Yaxuan
5,6,Wo Xiang Nian,Silence Wang
6,7,Luo (Hua Kai Hua Luo Ri Sheng Ri Mo),Tang Bo Hu Annie
7,8,Chi Xin,Curley G
8,9,Li Bie Kai Chu Hua,Jiu Shi Nan Fang Kai
9,10,Chun Feng He Shi Lai,Ba Zha Hei
10,11,Wei Bi,Yan Jinyu
11,12,Bu Ru Jian Yi Mian,Hai Lai A Mu
12,13,Bu Ru Jian Yi Mian,"Hai Lai A Mu, Shan Yichun"
13,14,Shun,Zheng Runze
14,15,Wo Ba Gu Shi Niang Cheng Jiu,Hou Zerun
15,16,Shi Shi,Liu Yuning
16,17,Luo Cha Hai Shi,Dao Lang
17,18,Ni Zong Yao Xue Hui Wang Qian Zou,Ren Xia
18,19,Chun Xue,"Zhou Shen, Terry Zhong"
19,20,Hua Kai Wang You,Zhou Shen
20,21,Bie Ai Tai Man Bie Shui Tai Wan,Ren Xia
21,22,Qu You Feng De Di Fang,Yisa Yu
22,23,Long,Zhang Bichen
23,24,Shi Ma Ma Shi Nv Er,"Sophia Huang, Curley G"
24,25,Hua Xia,Zhang Yunlei
25,26,Zhen Zhe Guang De Ta,Ren Suxi
26,27,Wo De Xin Xia Qi Le Xue,"Wang Xinchen, Xu Jingwen"
27,28,Qi Shi Dou Mei You,Yu Dongran
28,29,Xiang Ni Shi Feng Qi,Shan Yichun
29,30,Wo Qi Dai De Bu Shi Xue (Er Shi You Ni De Dong Tian),Zhang Miaoge
30,31,Xi Lou Er Nv,Yue Yunpeng
31,32,Wo De Zhi Fei Ji,"GooGoo, Wang Zhirui"
32,33,Ni Leng Luo Wo Wo Jiu Fang Qi Ni,Yi Ling
33,34,Gu Niang Bie Ku Qi,Ke Ke ke A
34,35,Shen Qi Bai Ma,Bo Yuan
35,36,Chuan Yue Hui Yi Ben Xiang Ni,Liu Yuning
36,37,Ru Chu,Zhang Bichen
37,38,Da Feng Chui Dao Wu Tong Shu,Hou Zerun
38,39,Xiang Yun Duan,"Hai Yang Bo, Xiao Xia"
39,40,Shou Zi (Skinny Love),Ding Shiguang
40,41,RIDE OR DIE,KUN
41,42,Men,Zhou Shen
42,43,Christmas Star,Jay Chou (Feat.Yang Rui Dai)
43,44,Run Back To You,"Lay Zhang, Lauv"
44,45,Cui Can Mao Xian Ren,Zhou Shen
45,46,Fei Wo Bu Ke,Teens in Times
46,47,Lai Ren Jian Zou Ge Guo Chang,Wang Chaoran
47,48,Fei Ni Suo Xiang,Zhou Shen
48,49,Ke Yi Guan Zhe Ni Ke Yi Huan Le Ni,Da Mei
49,50,Fri Friday,Ma Jiaqi
50,51,Xia Bei Zi Zao Dian Xiang Yu,L(Tao Zi)
51,52,Meng Yi,Zou Peipei
52,53,Ye Cao Yu Zhi Zi Hua,Lin Sanqi
53,54,Bu Zhi Fan,Wang Heye
54,55,Zhe Wan Feng,Chen Linong
55,56,Shang Chun Shan,Zhang Chao
56,57,Wo Xiang Chu Qu Zou Yi Zou,Yi Ling
57,58,Wang Hou,A You You
58,59,AI,Joker Xue
59,60,Wo Yao De Bu Shi Xue,Li Fafa
60,61,Sheng Xia De Ni Ting Dong Wo Ma,Fiona Sit
61,62,Could It Be,Song Yuqi
62,63,Jie Meng,Zhou Shen
63,64,Lan Duo Duo Lai Le,Huang Yubo
64,65,Wo Yi Miao Xiao Ai Ni,Zhou Shen
65,66,Yue Guang Shan,Zhang Yuan
66,67,Jia Ru Dang Chu,Li Fafa
67,68,Zhi Zi Bu Ti Ai,Chen Xiaoman
68,69,Ying Zi,"Dui Zhang, Lu Han"
69,70,Cang Xing,Silence Wang
70,71,Xue Pa Tai Yang Cao Pa Shuang,Liu Yangyang
71,72,Mai Cang,Zhao Xinyu
72,73,Bu Ru Hui Jia He Zi Lai Shui,Liu Yewei
73,74,Ru Guo You Yi Tian,Yi Ling
74,75,Hui Bu Qu De He Zhi Shi Jian,Chen Moyi
75,76,Monster,Ding Chengxin
76,77,Wei Yi,G.E.M.
77,78,Bu Mian Zhi Ye,"Jason Zhang, HOYO-MiX"
78,79,Ge Zi An Hao,Hai Lai A Mu
79,80,Zhi Zi Hua De Yue Ding,Lin Sanqi
80,81,Wo De Nan Guo Ni Wu Suo Wei,Yi Ling
81,82,Zheng Pian Hua Hai Bu Jian Ni,"Zhao Zhitong, Bie Wen Shi Hai Bo"
82,83,Zong You Yi Tian Ni Hui Chu Xian Zai Wo Shen Bian,Ling Jing Yue Dui
83,84,Re La Gun Tang,Liu Yuning
84,85,11,G.E.M.
85,86,Fang Xia Zhi Nian Fang Neng Chong Sheng,Zhao Yang
86,87,Bi Cang,JessLee
87,88,Zai Ci Yu Ni Tong Xing,"Xiong Da,  Xiong Er,  Guang Tou Qiang"
88,89,Zui Xin Teng De Ren Zhi You Ni,Xiao A Feng
89,90,Spotlight,KUN
90,91,Zhi Ding Qu Xiao,Yan (Xu Jiahao)
91,92,Yong Yuan Chao Bu San De Ren,Da Ke
92,93,1.1,LuHan
93,94,Ruo Shi Yue Liang Hai Mei Lai,Shi Lei
94,95,Zhui Feng De Fei Niao,Zhang Yuan
95,96,Deng Wo Bu Zai Qu Da Rao,Wang Yijia
96,97,Shield,TF Family: Zhang Ji
97,98,You Ku Bu Sheng Zhang,Liu Yangyang
98,99,Zhao Zhao Ru Nian,Joysaaaa
99,100,He Bei Ren Sheng Jiu,Yi Ling
