,Rank,Title,Artist
0,1,Luna,Feid & ATL Jacob
1,2,Si Sabe Ferxxo,Blessd & Feid
2,3,Perro Negro,Bad Bunny & Feid
3,4,Segun Quien,Maluma & Carin Leon
4,5,La Diabla,Xavi
5,6,Amargura,Karol G
6,7,Cual Es Esa,Feid & Pirlo
7,8,La Ranger,"Sech, Justin Quiles, Lenny Tavarez, Dalex, Dimelo Flow & Myke Towers"
8,9,Qlona,Karol G & Peso Pluma
9,10,La Falda,Myke Towers
10,11,Mi Palabra Contra La de Ellos,Luis Alfonso
11,12,Classy 101,Feid x Young Miko
12,13,Godiva,"Ovy On The Drums, Myke Towers, Blessd & Ryan Castro"
13,14,Sacudelo,"El Alfa, Maluma, NLE Choppa & Donaty"
14,15,Gata Only,FloyyMenor X Cris Mj
15,16,Alakran,Feid
16,17,La Bachata,Manuel Turizo
17,18,La Victima,Xavi
18,19,Empelotica,Lenny Tavarez x Feid
19,20,Normal,Feid
20,21,Primera Cita,Carin Leon
21,22,Mi Ex Tenia Razon,Karol G
22,23,Feliz Cumpleanos Ferxxo,Feid
23,24,Lollipop,"Darell, Ozuna & Maluma"
24,25,Palabras Sobran,Blessd El Bendito
