,Rank,Title,Artist
0,1,Fantazija,Grse & Miach
1,2,Tokyo Drift,Grse X Mimi Mercedez
2,3,Monster,Jala Brat & Buba Corelli
3,4,Rosalia,Jala Brat & Buba Corelli
4,5,I Like The Way You Kiss Me,Artemas
5,6,Amsterdam,Biba X Voyage
6,7,Nenormalan Lik,Nikolija Featuring Devito
7,8,Cini,Breskvica
8,9,Mamma Mia,Grse
9,10,Viski,Nikolija Featuring Inas
10,11,Karneval II,Sajfer
11,12,Jao Mama,Coby & Rouzi
12,13,Naslovna,Amna X Biba
13,14,Skakavacc,Desingerica
14,15,Usta Na Usta,Buba Corelli
15,16,Rim Tim Tagi Dim,Baby Lasagna
16,17,Dam Dam Dam,Aleksandra Prijovic
17,18,Yankauskas,Inas
18,19,Prezime,Darko Lazic X Zera
19,20,Ona Nije Ja :),Hava
20,21,Sip,Grse
21,22,CCokolada,Desingerica
22,23,Puklo Nebo,Jala Brat Featuring Medico & Elena
23,24,Dim Dva,Igor Buzov X Rasta
24,25,Marakesh,Jala Brat & Buba Corelli Featuring BOUNTY & COCOA x DJ Tomekk
