,Rank,Title,Artist
0,1,I Like The Way You Kiss Me,Artemas
1,2,Smej Se Ted,Sergei Barracuda
2,3,Beautiful Things,Benson Boone
3,4,End Of Beginning,Djo
4,5,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
5,6,Safir,Calin & Viktor Sheen
6,7,Dopamin,Viktor Sheen
7,8,Greedy,Tate McRae
8,9,Overdrive,Ofenbach Featuring Norma Jean Martine
9,10,Prada,"casso, RAYE & D-Block Europe"
10,11,Brick Na Brick,Hard Rico
11,12,Another Love,Tom Odell
12,13,Lose Control,Teddy Swims
13,14,Unwritten,Natasha Bedingfield
14,15,Too Sweet,Hozier
15,16,U Hriste 380,Rohony
16,17,Cool,Grey256
17,18,Stiny,Viktor Sheen
18,19,Habibi,STEIN27
19,20,Slzy,Sofian Medjmedj & Ben Cristovao
20,21,The Sound Of Silence (CYRIL Remix),Disturbed
21,22,I'm Good (Blue),David Guetta & Bebe Rexha
22,23,Daylight,David Kushner
23,24,MMA,Ben Cristovao & Sofian Medjmedj
24,25,Rezim Nerusit,Dollar Prync & Hard Rico
