,Rank,Title,Artist
0,1,Bellevue,Rahim x D1MA
1,2,OT,Lamin
2,3,Alt Det,Thor Farlov Featuring Noah Carter
3,4,Beautiful Things,Benson Boone
4,5,Texas Hold 'Em,Beyonce
5,6,We Can't Be Friends (Wait For Your Love),Ariana Grande
6,7,I Like The Way You Kiss Me,Artemas
7,8,Knuser Hjerter,Annika
8,9,555,Gilli & Kesi
9,10,Lose Control,Teddy Swims
10,11,Det Modsatte,Mumle
11,12,Sprite & Vodka,"Noah Carter, Gilli & Kesi"
12,13,Sent,Artigeardit & Lamin
13,14,I Know,D1MA
14,15,Greedy,Tate McRae
15,16,End Of Beginning,Djo
16,17,Like That,"Future, Metro Boomin & Kendrick Lamar"
17,18,Skarpt Lys,Gilli
18,19,Jeg Er En Gamer,Thomas
19,20,Tak For Sidst,Gobs
20,21,Prada,"casso, RAYE & D-Block Europe"
21,22,Livet Er Kort,Gobs
22,23,Danser Med Daemoner,Baloosh Featuring OMAR
23,24,Uden Dig,Ukendt Kunstner
24,25,Too Sweet,Hozier
