,Rank,Title,Artist
0,1,Luna,Feid & ATL Jacob
1,2,Gata Only,FloyyMenor X Cris Mj
2,3,Segun Quien,Maluma & Carin Leon
3,4,Perro Negro,Bad Bunny & Feid
4,5,La Falda,Myke Towers
5,6,La Diabla,Xavi
6,7,Maquillaje,Renn & Yexel
7,8,Amargura,Karol G
8,9,Qlona,Karol G & Peso Pluma
9,10,La Ranger,"Sech, Justin Quiles, Lenny Tavarez, Dalex, Dimelo Flow & Myke Towers"
10,11,La Bachata,Manuel Turizo
11,12,Piel,Tiago PZK X Ke personajes
12,13,Bellakeo,Peso Pluma & Anitta
13,14,Lollipop,"Darell, Ozuna & Maluma"
14,15,Es Un Secreto,Plan B
15,16,Classy 101,Feid x Young Miko
16,17,Mi Ex Tenia Razon,Karol G
17,18,Si Sabe Ferxxo,Blessd & Feid
18,19,Feliz Cumpleanos Ferxxo,Feid
19,20,La Victima,Xavi
20,21,LaLa,Myke Towers
21,22,Normal,Feid
22,23,La Bebe,Yng Lvcas x Peso Pluma
23,24,Beautiful Things,Benson Boone
24,25,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
