,Rank,Title,Artist
0,1,Timanttei,Mirella
1,2,Heikkouteni,Jore & Zpoppa Featuring TUULI
2,3,Uuteen Eiliseen,Mirella
3,4,I Like The Way You Kiss Me,Artemas
4,5,Kissa,Ahti Featuring Averagekidluke
5,6,Kauas Pois,Gettomasa & Kube
6,7,Uus Bitch,OLGA
7,8,Tunnista Tuntiin,Ege Zulu & BEHM
8,9,Tuhoaisti,Kuumaa
9,10,Virheet,Hugo Featuring Bee
10,11,Elli,Tupe. X Vepu
11,12,Kattomatta Takas,Cledos & Etta
12,13,Jos Puhutaan Totta,ANI
13,14,Ruoska,Kaarija & Erika Vikman
14,15,Vaaraan Aikaan,Ahti Featuring HUGO
15,16,Kavi Mita Kavi Sul On Mut,VIIVI
16,17,Mon Cheri,Pilvi Hamalainen
17,18,Satama,Kuumaa
18,19,Skeittaa,Gettomasa & Kube Featuring Justsesomali
19,20,Paskana,Sara Siipola
20,21,Taulut,Hugo Featuring Costi
21,22,Pehmeit,Gettomasa & Kube
22,23,Vaan Sa,Blacflaco & Cledos
23,24,25,william
24,25,Malaga,VJ Featuring KERZA
