,Rank,Title,Artist
0,1,Beautiful Things,Benson Boone
1,2,Petit Genie,"Jungeli Featuring Abou Debeing, Lossa, Alonzo & Imen Es"
2,3,Ce Qu'on Etait,Pierre Garnier
3,4,Temps En Temps,Zola & Koba LaD
4,5,Position,Franglish
5,6,Mami Wata,Gazo & Tiakola
6,7,Texas Hold 'Em,Beyonce
7,8,Lose Control,Teddy Swims
8,9,I Love You,Dadju & Tayc
9,10,I Like The Way You Kiss Me,Artemas
10,11,The Sound Of Silence (CYRIL Remix),Disturbed
11,12,Pyramide,Werenoi Featuring Damso
12,13,Houdini,Dua Lipa
13,14,La Symphonie des Eclairs,Zaho de Sagazan
14,15,Si No Estas,Inigo Quintero
15,16,Hype,Aya Nakamura
16,17,Aucune Attache,KeBlack
17,18,Popcorn Sale,SANTA
18,19,Greedy,Tate McRae
19,20,Avec Classe,Corneille + Aya Nakamura + Trinix
20,21,Loco,GIMS & Lossa
21,22,Maudit,Werenoi Featuring Hamza
22,23,Parapluie,Jeck
23,24,Flashback,Fave Featuring Gazo
24,25,Stumblin' In,CYRIL
