,Rank,Title,Artist
0,1,I Like The Way You Kiss Me,Artemas
1,2,Beautiful Things,Benson Boone
2,3,"Zeit, Dass Sich Was Dreht",$OHO BANI & Herbert Groenemeyer
3,4,Stumblin' In,CYRIL
4,5,Texas Hold 'Em,Beyonce
5,6,End Of Beginning,Djo
6,7,Vois Sur Ton Chemin (Techno Mix),BENNETT
7,8,Kussen,"01099, Gustav & Zachi"
8,9,Belong Together,Mark Ambor
9,10,Greedy,Tate McRae
10,11,Prada,"casso, RAYE & D-Block Europe"
11,12,Eredivisie,Haaland936 & Amo
12,13,Komet,Udo Lindenberg & Apache 207
13,14,Unwritten,Natasha Bedingfield
14,15,Lose Control,Teddy Swims
15,16,9 Bis 9,"SIRA, badchieff & Bausa"
16,17,Overdrive,Ofenbach Featuring Norma Jean Martine
17,18,Tempo,"Sampagne, Badchieff & Cro"
18,19,Another Vibe,Luciano & Omah Lay
19,20,Thank You (Not So Bad),Dimitri Vegas & Like Mike x Tiesto x W&W & Dido
20,21,Let's Get Fkd Up,Alok x Mondello'G x CERES Featuring Tribbs
21,22,Fur Immer Fruhling,soffie
22,23,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
23,24,Major Tom (Coming Home),Peter Schilling
24,25,Liebe Ist Ein Dieb,Kontra K
