,Rank,Title,Artist
0,1,Taxidi,Marina Spanou
1,2,Zari,Marina Satti
2,3,Siga To Prama,Anastasia
3,4,0-100,FY
4,5,Panselinos,Despina Vandi & Mente Fuerte
5,6,Million,RACK
6,7,Death Before Dishonor,Light & Kidd
7,8,Sukarie,Trannos x Thodoris Verlis
8,9,OAED,SNIK & Ivan Greko
9,10,Drugs N Bass,"Hawk, Light & X ORFEAS"
10,11,Allou,Toquel & LILA
11,12,Ikaria,Marina Spanou
12,13,Prin Mafhseis,Saske & RACK
13,14,Arga,Light & Trannos
14,15,The Deal,"Bloody Hawk, Dani Gambino & Wang"
15,16,Maalox,"Bloody Hawk, Dani Gambino & Wang"
16,17,Balkan Disco,Lava & ROPEX LATERIO
17,18,Fck Em All,Ethismos
18,19,Savvatokyriaka,Saske
19,20,Paidi Tou 2000,Ethismos
20,21,I Eukairia Mou,Ethismos
21,22,I Like The Way You Kiss Me,Artemas
22,23,Gdysou,APON & Foureira
23,24,ISOS,Sicario
24,25,Akinhta,Ivan Greko X Strat X DIFF
