,Rank,Title,Artist
0,1,Magnetic,ILLIT
1,2,3-Life Of Luck,Yan Ting
2,3,Tinted Windows,Kaho Hung
3,4,Emergency Contact,Gareth.T
4,5,Background Noise,MC Cheung Tinfu
5,6,Permanent Damage,MC Cheung Tinfu & Panther Chan
6,7,Yan Chan,Keung To
7,8,Dark Moon,Keung To
8,9,Easy,LE SSERAFIM
9,10,Tao,Keung To
10,11,Metanoia,Yan Ting
11,12,Dummy,Keung To
12,13,"Dear My Friend,",Keung To
13,14,FRI(END)S,V
14,15,Inhale,MC Cheung Tinfu
15,16,Not My Problem,MC Cheung Tinfu
16,17,The Last Mad Surge of Youth,Hins Cheung
17,18,A Gentleman's Guide To Old-Fashioned Dating,MC Cheung Tinfu
18,19,The One For You,MC Cheung Tinfu
19,20,Imaginary Fairground,Hins Cheung
20,21,Chi Liao Hui Gai,Yan Ting
21,22,Seven,Jung Kook Featuring Latto
22,23,Smart,LE SSERAFIM
23,24,Pillow Talk,MC Cheung Tinfu
24,25,We Can't Be Friends (Wait For Your Love),Ariana Grande
