,Rank,Title,Artist
0,1,Like That,"Future, Metro Boomin & Kendrick Lamar"
1,2,Texas Hold 'Em,Beyonce
2,3,Beautiful Things,Benson Boone
3,4,Too Sweet,Hozier
4,5,Lose Control,Teddy Swims
5,6,II Most Wanted,Beyonce & Miley Cyrus
6,7,Jolene,Beyonce
7,8,Lovin On Me,Jack Harlow
8,9,We Can't Be Friends (Wait For Your Love),Ariana Grande
9,10,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
10,11,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
11,12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
12,13,Greedy,Tate McRae
13,14,Cruel Summer,Taylor Swift
14,15,Stick Season,Noah Kahan
15,16,Levii's Jeans,Beyonce & Post Malone
16,17,Snooze,SZA
17,18,Fast Car,Luke Combs
18,19,Saturn,SZA
19,20,Get It Sexyy,Sexyy Red
20,21,Agora Hills,Doja Cat
21,22,Water,Tyla
22,23,I Like The Way You Kiss Me,Artemas
23,24,End Of Beginning,Djo
24,25,Cinderella,"Future, Metro Boomin & Travis Scott"
25,26,Bodyguard,Beyonce
26,27,Blackbiird,"Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts"
27,28,Redrum,21 Savage
28,29,Never Lose Me,Flo Milli
29,30,Ameriican Requiem,Beyonce
30,31,Spaghettii,"Beyonce, Linda Martell & Shaboozey"
31,32,Feather,Sabrina Carpenter
32,33,Man Made A Bar,Morgan Wallen Featuring Eric Church
33,34,Whatever She Wants,Bryson Tiller
34,35,Made For Me,Muni Long
35,36,Act II: Date @ 8,4Batz Featuring Drake
36,37,Daughter,Beyonce
37,38,16 Carriages,Beyonce
38,39,Ya Ya,Beyonce
39,40,Young Metro,"Future, Metro Boomin & The Weeknd"
40,41,Obsessed,Olivia Rodrigo
41,42,Protector,Beyonce & Rumi Carter
42,43,We Don't Trust You,Future & Metro Boomin
43,44,Tyrant,Beyonce & Dolly Parton
44,45,Houdini,Dua Lipa
45,46,Where The Wild Things Are,Luke Combs
46,47,Burn It Down,Parker McCollum
47,48,Selfish,Justin Timberlake
48,49,23,Chayce Beckham
49,50,Paint The Town Red,Doja Cat
50,51,Riiverdance,Beyonce
51,52,Alliigator Tears,Beyonce
52,53,FE!N,Travis Scott Featuring Playboi Carti
53,54,My Rose,Beyonce
54,55,Slow It Down,Benson Boone
55,56,Yeah Glo!,GloRilla
56,57,Austin,Dasha
57,58,Wild Ones,Jessie Murph & Jelly Roll
58,59,Just For Fun,Beyonce & Willie Jones
59,60,II Hands II Heaven,Beyonce
60,61,Sweet * Honey * Buckiin',Beyonce & Shaboozey
61,62,Enough (Miami),Cardi B
62,63,Flamenco,Beyonce
63,64,Wildflowers And Wild Horses,Lainey Wilson
64,65,Desert Eagle,Beyonce
65,66,Get In With Me,BossMan Dlow
66,67,Exes,Tate McRae
67,68,Scared To Start,Michael Marcagi
68,69,La Diabla,Xavi
69,70,Oh Louisiana,Beyonce
70,71,Training Season,Dua Lipa
71,72,Ice Attack,Future & Metro Boomin
72,73,Where It Ends,Bailey Zimmerman
73,74,Gata Only,FloyyMenor X Cris Mj
74,75,Everybody,Nicki Minaj Featuring Lil Uzi Vert
75,76,Soak City,310babii
76,77,Mmhmm,BigXthaPlug
77,78,Slimed In,Future & Metro Boomin
78,79,Mamaw's House,Thomas Rhett Featuring Morgan Wallen
79,80,Praise Jah In The Moonlight,YG Marley
80,81,I Luv It,Camila Cabello & Playboi Carti
81,82,The Boy Is Mine,Ariana Grande
82,83,Corazon de Piedra,Xavi
83,84,Bandit,Don Toliver
84,85,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
85,86,"Yes, And?",Ariana Grande
86,87,Amen,Beyonce
87,88,FTCU,Nicki Minaj
88,89,Wind Up Missin' You,Tucker Wetmore
89,90,Spin You Around (1/24),Morgan Wallen
90,91,Fried (She A Vibe),Future & Metro Boomin
91,92,Claustrophobic,Future & Metro Boomin
92,93,Magic Don Juan (Princess Diana),Future & Metro Boomin
93,94,Tu Name,Fuerza Regida
94,95,Outskirts,Sam Hunt
95,96,Everyday Hustle,"Future, Metro Boomin & Rick Ross"
96,97,Back Then Right Now,Tyler Hubbard
97,98,La People II,"Peso Pluma, Tito Double P & Joel de La P"
98,99,Home,Good Neighbours
99,100,Tucson Too Late,Jordan Davis
