,Rank,Title,Artist
0,1,Cipoe,Azahriah
1,2,I Like The Way You Kiss Me,Artemas
2,3,Tiara,Manuel
3,4,Ugy Hiszem,Pogany Indulo
4,5,Mamor,Pogany Indulo
5,6,Szekelykapu,Pogany Indulo Featuring Parno Graszt
6,7,3korty,Azahriah
7,8,Introvertalt Dal,Azahriah
8,9,No Woman No Cry,T. Danny & Young Fly
9,10,Rampapapam,"Desh, Azahriah, Young Fly & Lord Panamo"
10,11,Rolad Szol,KKevin
11,12,Beautiful Things,Benson Boone
12,13,Gat,Azahriah
13,14,Afro Beat,Pogany Indulo
14,15,Pakisztani/Popo,Desh & Young Fly
15,16,Mariana.Arok,Azahriah
16,17,Osztriga,Desh
17,18,Meggyfan,Beton.Hofi
18,19,Overdrive,Ofenbach Featuring Norma Jean Martine
19,20,Gengetek Ellen,Pogany Indulo
20,21,Four Moods,Azahriah
21,22,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
22,23,M1,Azi X Desh
23,24,Rollin,"Desh, Young Fly & KKevin"
24,25,Ceremonia,Azahriah X Desh
