,Rank,Title,Artist
0,1,Like That,"Future, Metro Boomin & Kendrick Lamar"
1,2,I Like The Way You Kiss Me,Artemas
2,3,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
3,4,Texas Hold 'Em,Beyonce
4,5,We Can't Be Friends (Wait For Your Love),Ariana Grande
5,6,Dvel Eg I Draumaholl,Hafdis Huld
6,7,Skina,PATRi!K & Luigi
7,8,Beautiful Things,Benson Boone
8,9,Sama Um,Patri!K & Daniil
9,10,End Of Beginning,Djo
10,11,Hef Verid Verri,Herra Hnetusmjor
11,12,Bossed Up,Izleifur Featuring Daniil
12,13,Hvert Ertu Ad Fara?,Haski & Patri!k
13,14,Lose Control,Teddy Swims
14,15,Litlar Stjornur,Hafdis Huld
15,16,Sofdu Unga Astin Min,Hafdis Huld
16,17,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
17,18,Oskasteinar,Hafdis Huld
18,19,Too Sweet,Hozier
19,20,Koss A Pig (Aramotaskaup 2023),Herra Hnetusmjor
20,21,Sofa Urtuborn,Hafdis Huld
21,22,Ljos,Hafdis Huld
22,23,Hvad Med Pig?,"NUSSUN, HUGO & Pormoour"
23,24,Krumla,ICEGUYS
24,25,Bium Bium Bambalo,Hafdis Huld
