,Rank,Title,Artist
0,1,Teri Baaton Mein Aisa Uljha Ji Title Song,"Raghav, Tanishk Bagchi & Asees Kaur"
1,2,"Kurchi Madathapetti (From ""Guntur Kaaram"")",Sahithi Chaganti & Sri Krishna
2,3,Shree Hanuman Chalisa,Hariharan
3,4,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz
4,5,Gulabi Sadi,Sanju Rathod
5,6,"O Maahi (From ""Dunki"")",Arijit Singh
6,7,Matak Chalungi,Raj Mawar & Manisha Sharma Featuring Aman Jaji & Sapna Chaudhary
7,8,"Katchi Sera (From ""Think Indie"")",Sai Abhyankkar
8,9,"Pehle Bhi Main (From ""ANIMAL"")",Vishal Mishra
9,10,Jale 2,Shiva Choudhary & Sapna Choudhary
10,11,Husn,Anuv Jain
11,12,Tu Hai Kahan,AUR
12,13,Nimbu Kharbuja Bhail,Khesari Lal Yadav
13,14,"Chaleya (From ""Jawan"")",Arijit Singh & Shilpa Rao
14,15,Ve Haaniyaan,Danny
15,16,"Satranga (From ""Animal"")",Arijit Singh
16,17,Yimmy Yimmy,Tayc & Shreya Ghoshal
17,18,"Hithalaka Karibyada Maava (From ""Karataka Damanaka"")",Malu Nipanal & Shruthi Prahlada
18,19,"College Papa (From ""MAD"")","Bheems Ceciroleo, Varam & Keerthana Sharma"
19,20,"Apna Bana Le (From ""Bhediya"")",Arijit Singh & Sachin-Jigar
20,21,"Naina (From ""Crew"")",Diljit Dosanjh & Badshah
21,22,Heeriye,Jasleen Royal & Arijit Singh
22,23,"Ram Sita Ram (From ""Adipurush"")","Karthik, Sachet Tandon & Parampara Tandon"
23,24,Cheques,Shubh
24,25,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Arijit Singh, Shreya Ghoshal, Shadab Faridi & Altamash Faridi"
