,Rank,Title,Artist
0,1,We Can't Be Friends (Wait For Your Love),Ariana Grande
1,2,End Of Beginning,Djo
2,3,Drunk Text,Henry Moodie
3,4,Intro (End Of The World),Ariana Grande
4,5,Penjaga Hati,Nadhif Basalamah
5,6,Magnetic,ILLIT
6,7,Sheesh,BABYMONSTER
7,8,Tak Dianggap,Lyodra
8,9,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
9,10,Tak Segampang Itu,Anggi Marito
10,11,Cruel Summer,Taylor Swift
11,12,Mati-Matian,Mahalini
12,13,My Love Mine All Mine,Mitski
13,14,Sialan,Adrian Khalif & Juicy Luicy
14,15,Pesan Terakhir,Lyodra
15,16,Kita Bikin Romantis,MALIQ & D'Essentials
16,17,Saturn,SZA
17,18,Tapi Tahukah Kamu?,Dygta Featuring Kamasean
18,19,Greedy,Tate McRae
19,20,"Dia Masa Lalumu, Aku Masa Depanmu",Vionita
20,21,Masih Hatiku,Arsy Widianto & Tiara Andini
21,22,Night Changes,One Direction
22,23,Bunga Hati,Salma Salsabil
23,24,Beautiful Things,Benson Boone
24,25,Rewrite The Stars,James Arthur & Anne-Marie
