,Rank,Title,Artist
0,1,Too Sweet,Hozier
1,2,Beautiful Things,Benson Boone
2,3,Stick Season,Noah Kahan
3,4,Texas Hold 'Em,Beyonce
4,5,End Of Beginning,Djo
5,6,I Like The Way You Kiss Me,Artemas
6,7,We Can't Be Friends (Wait For Your Love),Ariana Grande
7,8,Scared To Start,Michael Marcagi
8,9,Lose Control,Teddy Swims
9,10,Austin,Dasha
10,11,Belong Together,Mark Ambor
11,12,Prada,"casso, RAYE & D-Block Europe"
12,13,Jolene,Beyonce
13,14,Greedy,Tate McRae
14,15,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
15,16,Like That,"Future, Metro Boomin & Kendrick Lamar"
16,17,II Most Wanted,Beyonce & Miley Cyrus
17,18,Cruel Summer,Taylor Swift
18,19,Unwritten,Natasha Bedingfield
19,20,Training Season,Dua Lipa
20,21,Evergreen,Richy Mitch And The Coal Miners
21,22,Houdini,Dua Lipa
22,23,Slow It Down,Benson Boone
23,24,Obsessed,Olivia Rodrigo
24,25,Birds In The Sky,NewEra
