,Rank,Title,Artist
0,1,Bling-Bang-Bang-Born,Creepy Nuts
1,2,Billions Of Light Years,Omoinotake
2,3,Magnetic,ILLIT
3,4,Bansanka,tuki.
4,5,Tokimeki United,Real Idol Project
5,6,Michi Teyu Ku (Overflowing),Fujii Kaze
6,7,Time Paradox,VAUNDY
7,8,Idol,YOASOBI
8,9,Nidone,Creepy Nuts
9,10,Que Sera Sera,Mrs. GREEN APPLE
10,11,Kaiju No Hanauta,VAUNDY
11,12,Sunny,yorushika
12,13,Show,Ado
13,14,Demons Banquet,Tomonari Sora
14,15,Orange,SPYAIR
15,16,The Brave,YOASOBI
16,17,Specialz,King Gnu
17,18,Be a flower,Ryokuoushoku Shakai
18,19,Click,ME:I
19,20,Bibbidiba,Hoshimachi Suisei
20,21,Dance Hall,Mrs. GREEN APPLE
21,22,Sweet Nonfiction,NiziU
22,23,Soranji,Mrs. GREEN APPLE
23,24,Subtitle,Official HIGE DANdism
24,25,I'm a Mess,MY FIRST STORY
25,26,Yura Yura -Unmei No Hana-,ZEROBASEONE
26,27,One Spark,TWICE
27,28,Deja Vu,TOMORROW X TOGETHER
28,29,Magic,Mrs. GREEN APPLE
29,30,Billimillion,Yuuri
30,31,Suiheisen,back number
31,32,Rendez-Vous,Shy Taupe
32,33,Where Our Blue Is,Tatsuya Kitani
33,34,Hana,Fujii Kaze
34,35,Goat,Number_I
35,36,Takane No Hanako San,back number
36,37,Dried Flower,Yuuri
37,38,Ao To Natsu,Mrs. GREEN APPLE
38,39,BET,Hiromitsu Kitayama
39,40,Perfect Night,LE SSERAFIM
40,41,Easy,LE SSERAFIM
41,42,The Peak,SEKAI NO OWARI
42,43,Nachtmusik,Mrs. GREEN APPLE
43,44,W / X / Y,Tani Yuuki
44,45,Cider,The Birthday
45,46,Tenbyou No Uta,Mrs. GREEN APPLE Feat. Sonoko Inoue
46,47,Juveniler,Bullet-Train
47,48,Inferno,Mrs. GREEN APPLE
48,49,Seven,Jung Kook Featuring Latto
49,50,Yoru Ni Kakeru,YOASOBI
50,51,Winter & Spring,back number
51,52,Dai Zero Kan,10-FEET
52,53,Utsukushii Hire,Spitz
53,54,Marigold,aimyon
54,55,Betelgeuse,Yuuri
55,56,Cinderella Boy,Saucy Dog
56,57,Sheesh,BABYMONSTER
57,58,Nobishiro,Creepy Nuts
58,59,Smart,LE SSERAFIM
59,60,Gunjou,YOASOBI
60,61,Boku No Koto,Mrs. GREEN APPLE
61,62,Whatever Happens,INI
62,63,More Than Words,Hitsujibungaku
63,64,Suirontekini Uchujin,Genin Wa Jibun Ni Aru (Genjibu)
64,65,Shin Jidai (Uta from ONE PIECE FILM RED),Ado
65,66,Kimi Ha Honey Dew,Hinatazaka 46
66,67,Mixed Nuts,Official HIGE DANdism
67,68,Pretender,Official HIGE DANdism
68,69,Sakura,Ketsumeishi
69,70,Tada Kimini Hare,yorushika
70,71,Ambivalent,Uru
71,72,Habit,SEKAI NO OWARI
72,73,Haru Dorobou,yorushika
73,74,Monster,YOASOBI
74,75,Kick Back,Kenshi Yonezu
75,76,Zezezezettai Seiiki,Ano Feat. Lilas Ikuta
76,77,Nandemo Naiyo,Macaroni Empitsu
77,78,The Blessing,YOASOBI
78,79,On A Cherry Blossom Night,aimyon
79,80,Ai No Hana,aimyon
80,81,Nice Idea!,Ryokuoushoku Shakai
81,82,automatic,Hikaru Utada
82,83,Sakura Kimi Watashi,tuki.
83,84,Happy Birthday,back number
84,85,Romanticism,Mrs. GREEN APPLE
85,86,Last Party Never End,"BAD HOP  (feat. Tiji Jojo, YZERR, Vingo & Yellow Pato)"
86,87,Hanataba,back number
87,88,Ditto,NewJeans
88,89,Cherry,Spitz
89,90,115 Millon Kilometer Film,Official HIGE DANdism
90,91,Nautilus,SEKAI NO OWARI
91,92,Kizuna No Kiseki,MAN WITH A MISSION x milet
92,93,Eden,Knight A
93,94,Soulsoup,Official HIGE DANdism
94,95,Garden,Fujii Kaze
95,96,Overdose,natori
96,97,Aitoka Koitoka,Novelbright
97,98,Lemon,Kenshi Yonezu
98,99,Blue Ambience,Mrs.GREEN APPLE (Feat. asmi)
99,100,Kirari,Fujii Kaze
