,Rank,Title,Artist
0,1,Beautiful Things,Benson Boone
1,2,I Like The Way You Kiss Me,Artemas
2,3,Lose Control,Teddy Swims
3,4,Texas Hold 'Em,Beyonce
4,5,Greedy,Tate McRae
5,6,End Of Beginning,Djo
6,7,Petit Genie,"Jungeli Featuring Abou Debeing, Lossa, Alonzo & Imen Es"
7,8,Si No Estas,Inigo Quintero
8,9,Like That,"Future, Metro Boomin & Kendrick Lamar"
9,10,Houdini,Dua Lipa
10,11,We Can't Be Friends (Wait For Your Love),Ariana Grande
11,12,Stumblin' In,CYRIL
12,13,Overdrive,Ofenbach Featuring Norma Jean Martine
13,14,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
14,15,Training Season,Dua Lipa
15,16,Whatever,Kygo With Ava Max
16,17,I Love You,Dadju & Tayc
17,18,Water,Tyla
18,19,Prada,"casso, RAYE & D-Block Europe"
19,20,Another Love,Tom Odell
20,21,Con Il Nastro Rosa,Cristian Marchi
21,22,Cinderella,"Future, Metro Boomin & Travis Scott"
22,23,Vois Sur Ton Chemin (Techno Mix),BENNETT
23,24,Temps En Temps,Zola & Koba LaD
24,25,Cruel Summer,Taylor Swift
