,Rank,Title,Artist
0,1,We Can't Be Friends (Wait For Your Love),Ariana Grande
1,2,Magnetic,ILLIT
2,3,Drunk Text,Henry Moodie
3,4,End Of Beginning,Djo
4,5,Suasana Hari Raya,Anuar & Ellina
5,6,Intro (End Of The World),Ariana Grande
6,7,Sheesh,BABYMONSTER
7,8,Smart,LE SSERAFIM
8,9,Penjaga Hati,Nadhif Basalamah
9,10,SAH (Setia-Akhir-Hayat),Sarah Suhairi & Alfie Zumi
10,11,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
11,12,Saturn,SZA
12,13,Cruel Summer,Taylor Swift
13,14,Beautiful Things,Benson Boone
14,15,Greedy,Tate McRae
15,16,Easy,LE SSERAFIM
16,17,My Love Mine All Mine,Mitski
17,18,Seven,Jung Kook Featuring Latto
18,19,Die For You,The Weeknd & Ariana Grande
19,20,Alamak Raya Lagi!,De Fam
20,21,Sesuci Lebaran,Siti Nurhaliza
21,22,Raya Raya Raya,DOLLA
22,23,Satu Hari Di Hari Raya,M.Nasir
23,24,Selamat Berhari Raya,Rahimah Rahim
24,25,Until I Found You,Stephen Sanchez
