,Rank,Title,Artist
0,1,Madonna,Natanael Cano & Oscar Maydon
1,2,La Diabla,Xavi
2,3,Corazon de Piedra,Xavi
3,4,La People II,"Peso Pluma, Tito Double P & Joel de La P"
4,5,Gata Only,FloyyMenor X Cris Mj
5,6,La Victima,Xavi
6,7,Regalo de Dios,Julion Alvarez
7,8,El Boss,Gabito Ballesteros & Natanael Cano
8,9,Y Lloro,Junior H
9,10,Tu Name,Fuerza Regida
10,11,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
11,12,Elvira,"Oscar Maydon, Gabito Ballesteros & Chino Pacas"
12,13,Rockstar,Junior H
13,14,Harley Quinn,Fuerza Regida & Marshmello
14,15,El Amor de Su Vida,Grupo Frontera & Grupo Firme
15,16,Segun Quien,Maluma & Carin Leon
16,17,First Love,Oscar Ortiz X Edgardo Nunez
17,18,Luna,Feid & ATL Jacob
18,19,Si No Quieres No,Luis R Conriquez x Neton Vega
19,20,Mi Bello Angel,Natanael Cano
20,21,Mas Te Recuerdo,Somos 3
21,22,Sabor Fresa,Fuerza Regida
22,23,O Me Voy O Te Vas,Natanael Cano
23,24,Nueva Vida,Peso Pluma
24,25,Qlona,Karol G & Peso Pluma
