,Rank,Title,Artist
0,1,Europapa,Joost
1,2,Pretty Girls,Frenna
2,3,Texas Hold 'Em,Beyonce
3,4,Beautiful Things,Benson Boone
4,5,Stumblin' In,CYRIL
5,6,I Like The Way You Kiss Me,Artemas
6,7,Entourage,Bankzitters
7,8,Stick Season,Noah Kahan
8,9,We Can't Be Friends (Wait For Your Love),Ariana Grande
9,10,Alles Op Gevoel,"Flemming, Zoe Tauran & Ronnie Flex"
10,11,Lose Control,Teddy Swims
11,12,Satisfyer,Roxy Dekker
12,13,Stukje Van Mij,MEAU
13,14,Hier Mag Alles,Donnie & Marco Schuitmaker
14,15,End Of Beginning,Djo
15,16,Waterdicht,Hannah Mae
16,17,Brommers Kieken,Boer Harm
17,18,Austin,Dasha
18,19,Overdrive,Ofenbach Featuring Norma Jean Martine
19,20,Thank You (Not So Bad),Dimitri Vegas & Like Mike x Tiesto x W&W & Dido
20,21,Whatever,Kygo With Ava Max
21,22,Belong Together,Mark Ambor
22,23,It's Not Right (But It's Ok),Mr. Belt & Wezol
23,24,Training Season,Dua Lipa
24,25,Tuesday,Jonna Fraser
