,Rank,Title,Artist
0,1,Beautiful Things,Benson Boone
1,2,Lose Control,Teddy Swims
2,3,Too Sweet,Hozier
3,4,Like That,"Future, Metro Boomin & Kendrick Lamar"
4,5,End Of Beginning,Djo
5,6,We Can't Be Friends (Wait For Your Love),Ariana Grande
6,7,Texas Hold 'Em,Beyonce
7,8,I Like The Way You Kiss Me,Artemas
8,9,Stick Season,Noah Kahan
9,10,leavemealone,Fred again.. & Baby Keem
10,11,Praise Jah In The Moonlight,YG Marley
11,12,Saturn,SZA
12,13,Greedy,Tate McRae
13,14,Scared To Start,Michael Marcagi
14,15,Cruel Summer,Taylor Swift
15,16,Lovin On Me,Jack Harlow
16,17,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
17,18,Stumblin' In,CYRIL
18,19,Austin,Dasha
19,20,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
20,21,Dreams,Fleetwood Mac
21,22,Home,Good Neighbours
22,23,Water,Tyla
23,24,II Most Wanted,Beyonce & Miley Cyrus
24,25,Something In The Orange,Zach Bryan
