,Rank,Title,Artist
0,1,Beautiful Things,Benson Boone
1,2,Baerum Bitches (Mannschaft),Sote Og Rare Gutter
2,3,I Like The Way You Kiss Me,Artemas
3,4,Soldat,"VC Barre, Pablo Paz & takenoelz"
4,5,We Can't Be Friends (Wait For Your Love),Ariana Grande
5,6,End Of Beginning,Djo
6,7,Texas Hold 'Em,Beyonce
7,8,Lose Control,Teddy Swims
8,9,Working,Roc Boyz
9,10,Austin,Dasha
10,11,Badebussen,DJ Momo Featuring Kjartan Lauritzen
11,12,Whatever,Kygo With Ava Max
12,13,Slow It Down,Benson Boone
13,14,Before You Leave Me,Alex Warren
14,15,Too Sweet,Hozier
15,16,Scared To Start,Michael Marcagi
16,17,Like That,"Future, Metro Boomin & Kendrick Lamar"
17,18,Greedy,Tate McRae
18,19,Belong Together,Mark Ambor
19,20,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
20,21,Vennelos,Blackie
21,22,Jeg Vil Ha (Parlamentet),Fjellrev & Roc Meiniac
22,23,Prada,"casso, RAYE & D-Block Europe"
23,24,The Sound Of Silence (CYRIL Remix),Disturbed
24,25,II Most Wanted,Beyonce & Miley Cyrus
