,Rank,Title,Artist
0,1,Too Sweet,Hozier
1,2,Beautiful Things,Benson Boone
2,3,Texas Hold 'Em,Beyonce
3,4,Lose Control,Teddy Swims
4,5,I Like The Way You Kiss Me,Artemas
5,6,End Of Beginning,Djo
6,7,We Can't Be Friends (Wait For Your Love),Ariana Grande
7,8,Austin,Dasha
8,9,Scared To Start,Michael Marcagi
9,10,Stick Season,Noah Kahan
10,11,Like That,"Future, Metro Boomin & Kendrick Lamar"
11,12,Alibi,Ella Henderson Featuring Rudimental
12,13,Training Season,Dua Lipa
13,14,Belong Together,Mark Ambor
14,15,Unwritten,Natasha Bedingfield
15,16,Jolene,Beyonce
16,17,II Most Wanted,Beyonce & Miley Cyrus
17,18,Birds In The Sky,NewEra
18,19,Back On 74,Jungle
19,20,Whatever,Kygo With Ava Max
