,Rank,Title,Artist
0,1,Luna,Feid & ATL Jacob
1,2,Gata Only,FloyyMenor X Cris Mj
2,3,Una Foto,Mesita X NICKI NICOLE X Tiago PZK X Emilia
3,4,La Falda,Myke Towers
4,5,Perro Negro,Bad Bunny & Feid
5,6,Segun Quien,Maluma & Carin Leon
6,7,Amargura,Karol G
7,8,Partido En Dos,La Unica Tropical
8,9,La Ranger,"Sech, Justin Quiles, Lenny Tavarez, Dalex, Dimelo Flow & Myke Towers"
9,10,Piel,Tiago PZK X Ke personajes
10,11,Qlona,Karol G & Peso Pluma
11,12,Bellakeo,Peso Pluma & Anitta
12,13,La Bachata,Manuel Turizo
13,14,Ojitos Rojos,Grupo Frontera & Ke personajes
14,15,Un Finde: Big One CROSSOVER #2,Ke personajes X Big One X FMK
15,16,Mi Ex Tenia Razon,Karol G
16,17,Mamichula,"Trueno & Nicki Nicole Featuring Taiu, Bizarrap & Tatool"
17,18,M.A.I,Milo j
18,19,LaLa,Myke Towers
19,20,Classy 101,Feid x Young Miko
20,21,Maquillaje,Renn & Yexel
21,22,Lollipop,"Darell, Ozuna & Maluma"
22,23,OA,Quevedo X Anuel AA X Maluma & DJ Luian & Mambo Kingz
23,24,Feliz Cumpleanos Ferxxo,Feid
24,25,Ando,Jere Klein
