,Rank,Title,Artist
0,1,We Can't Be Friends (Wait For Your Love),Ariana Grande
1,2,Babaero,gins&melodies Featuring Hev Abi
2,3,End Of Beginning,Djo
3,4,Intro (End Of The World),Ariana Grande
4,5,Walang Alam,Hev Abi
5,6,Alam Mo Ba Girl,Hev Abi
6,7,Makasarili Malambing,Kristina Dawn Featuring Hev Abi
7,8,Marikit Sa Dilim,Juan And Kyle Featuring JAWZ
8,9,Magnetic,ILLIT
9,10,Cruel Summer,Taylor Swift
10,11,Sumugal,Hev Abi Featuring Unotheone & LK
11,12,Saturn,SZA
12,13,Take All The Love,Arthur Nery
13,14,Pantropiko,BINI
14,15,Lil Kasalanan Shortie,Hev Abi
15,16,Get Low,O SIDE MAFIA x Brgr
16,17,Faded (Raw),Illest Morena
17,18,Tingin,COJ Featuring Janine Tenoso
18,19,My Love Mine All Mine,Mitski
19,20,Palagi,Tj Monterde
20,21,Made For Me,Muni Long
21,22,Pakundangan,DEMI & Hev Abi
22,23,Sa Susunod Na Habang-Buhay,Ben&Ben
23,24,Heaven Knows - This Angel Has Flown,Orange And Lemons
24,25,711,TONEEJAY
