,Rank,Title,Artist
0,1,I Like The Way You Kiss Me,Artemas
1,2,Drive,Gibbs Featuring Opal
2,3,Co Ty Mi Dasz Ale To Drill,"Kizo, mlody klakson & MIG"
3,4,Hero,Kizo & Bletka
4,5,Suma Wszystkich Strachow,"FAVST, Gibbs & Szpaku Featuring Kielas"
5,6,Ring Ring,"Waima, Deemz & YARSKI"
6,7,Beautiful Things,Benson Boone
7,8,Ne Rozumiju,Vixen
8,9,Woda Ksiezycowa,"Kubi Producent, stickxr, bambi & Fukaj"
9,10,Te Numery,Young Leosia Featuring Francis
10,11,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
11,12,Nie Szkodzi,Paula Biskup & Piotr Odoszewski
12,13,Lose Control,Teddy Swims
13,14,End Of Beginning,Djo
14,15,Plaster,Szpaku
15,16,Przester,Young Leosia Featuring Francis
16,17,The Sound Of Silence (CYRIL Remix),Disturbed
17,18,"Dzieki, Ze Jestes",Lanberry x Tribbs
18,19,Stumblin' In,CYRIL
19,20,BFF,bambi & Young Leosia
20,21,Dior,Malik Montana
21,22,Stan,"Gibbs, Jonatan & 4money"
22,23,Motyle,Sylwia Grzeszczak
23,24,Mlody Manson,Young Multi Featuring Szpaku
24,25,Unwritten,Natasha Bedingfield
