,Rank,Title,Artist
0,1,Beautiful Things,Benson Boone
1,2,Alo,Dillaz Featuring Plutonio
2,3,Qual E O Seu Desejo?,Tz da Coronel Featuring Ryu The Runner
3,4,Habibi,Dillaz
4,5,Tata,Slow J
5,6,Lose Control,Teddy Swims
6,7,Poc Poc,Pedro Sampaio
7,8,End Of Beginning,Djo
8,9,Nota 100,Dillaz Featuring Julinho KSD
9,10,Bencao,Mizzy Miles Featuring Van Zee & Bispo
10,11,I Like The Way You Kiss Me,Artemas
11,12,We Can't Be Friends (Wait For Your Love),Ariana Grande
12,13,Samba de Malandro,"MC Paulin da Capital, MC Piedro, MC Ryan SP,  MC Daniel, DJ WN & DJ GM"
13,14,Texas Hold 'Em,Beyonce
14,15,Like That,"Future, Metro Boomin & Kendrick Lamar"
15,16,Si No Estas,Inigo Quintero
16,17,Carro,Barbara Bandeira Featuring Dillaz
17,18,Aquariano Nato,MC Saci Featuring mc pretchako
18,19,Greedy,Tate McRae
19,20,Diz Ai Qual E O Plano?,"MC IG, MC Luki, MC GP, MC Ryan SP, MC PH, MC Poze do Rodo, TrapLaudo, Oruam, MC GH Do 7 & MC Nego Micha"
20,21,Tenho Que Me Decidir,"MC PH, Borges, WIU, Pedro Lotto & WEY"
21,22,Colas,Dillaz
22,23,Role Na Favela de Nave,"Oruam, Didi & DJ LC da Roca Featuring MC K9, MC Smith & Mainstreet"
23,24,Baby Eu Tava Na Rua Da Agua,"Rj, DJ MK de Nitteroi, TR E MC Menor RV"
24,25,Water,Tyla
