,Rank,Title,Artist
0,1,"Guli Guli (From ""Buzz House: The Movie"")",rares X Bogdan DLP
1,2,De La Dela,Andia
2,3,Burj Khalifa,Tzanca Uraganu
3,4,Fana,Jador
4,5,I Like The Way You Kiss Me,Artemas
5,6,Daca Ai Stii Cat Te Iubesc,Adrian Minune & Giorgiana Lobont
6,7,"Vorbesc Cu Ele,Zilele Mele",Nicolae Guta
7,8,Cum Se Imparte Dragostea,Puya X Antonia
8,9,Like That,"Future, Metro Boomin & Kendrick Lamar"
9,10,Lunetist,Ian & Oscar
10,11,Lose Control,Teddy Swims
11,12,Ciocolata,Tzanca Uraganu
12,13,Mwaki,ZERB & Sofiya Nzau
13,14,Selgros,Ian & Aerozen
14,15,Amore,Iuly Neamtu
15,16,Romeo Si Julieta,Alex Botea
16,17,Decibeli,Alex Botea
17,18,Ce Ti-Am Spus Eu,Florin Cercel
18,19,"Hot (From ""Miami Bici 2 The Movie"")",Tzanca Uraganu X Andrei G
19,20,Vocea Ta,Lele
20,21,Oh My,Ian & Bvcovia
21,22,Zodiac,"NOUA UNSPE, RAVA & BITTNER"
22,23,Ola Chiquita,Alberto Guta & Nicolae Guta
23,24,Guli Guli (Live),Bogdan DLP
24,25,Nebunia Lui Babasha,Babasha
