,Rank,Title,Artist
0,1,Magnetic,ILLIT
1,2,We Can't Be Friends (Wait For Your Love),Ariana Grande
2,3,Cruel Summer,Taylor Swift
3,4,End Of Beginning,Djo
4,5,Intro (End Of The World),Ariana Grande
5,6,Easy,LE SSERAFIM
6,7,Smart,LE SSERAFIM
7,8,Greedy,Tate McRae
8,9,Beautiful Things,Benson Boone
9,10,Seven,Jung Kook Featuring Latto
10,11,Saturn,SZA
11,12,That's What I Like,Bruno Mars
12,13,Locked Out Of Heaven,Bruno Mars
13,14,Just The Way You Are,Bruno Mars
14,15,24K Magic,Bruno Mars
15,16,FRI(END)S,V
16,17,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
17,18,Talking To The Moon,Bruno Mars
18,19,Like That,"Future, Metro Boomin & Kendrick Lamar"
19,20,My Love Mine All Mine,Mitski
20,21,Perfect Night,LE SSERAFIM
21,22,Sheesh,BABYMONSTER
22,23,The Boy Is Mine,Ariana Grande
23,24,Treasure,Bruno Mars
24,25,Finesse,Bruno Mars & Cardi B
