,Rank,Title,Artist
0,1,I Like The Way You Kiss Me,Artemas
1,2,Bbejbb,Separ
2,3,Tvoje Ruze,Sima
3,4,Beautiful Things,Benson Boone
4,5,Mam Ta Rad,Kali x Alan Murin & Shorty
5,6,End Of Beginning,Djo
6,7,Zly Sen,Dame & Separ
7,8,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
8,9,Sunset,"Separ, Jerry Lee & P T K"
9,10,Overdrive,Ofenbach Featuring Norma Jean Martine
10,11,Unwritten,Natasha Bedingfield
11,12,A Je,Dame
12,13,Lose Control,Teddy Swims
13,14,Prada,"casso, RAYE & D-Block Europe"
14,15,Ked Ti To Vadí Tak Sa Nepozeraj,Dame
15,16,Ratatata,Dame & SMART
16,17,Ked Spomeniem Si Na Teba,Dame
17,18,Sereme Do Koly A Stime Do Fantly,Dame
18,19,Greedy,Tate McRae
19,20,Like That,"Future, Metro Boomin & Kendrick Lamar"
20,21,Smej Se Ted,Sergei Barracuda
21,22,We The Bez Debat,Dame
22,23,The Sound Of Silence (CYRIL Remix),Disturbed
23,24,Dokola,Alan Murin
24,25,Dovidenia,Separ
