,Rank,Title,Artist
0,1,Tshwala Bam,TitoM & Yuppe Featuring S.N.E & EeQue
1,2,Imithandazo,"Kabza De Small & Mthunzi Featuring Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush"
2,3,Beautiful Things,Benson Boone
3,4,Like That,"Future, Metro Boomin & Kendrick Lamar"
4,5,I Like The Way You Kiss Me,Artemas
5,6,Masithokoze,DJ Stokie And Eemoh
6,7,Water,Tyla
7,8,Keneilwe,"Wanitwa Mos, Nkosazana Daughter, Master KG Featuring Dalom Kids"
8,9,Funk 55,"Shakes & Les X DBN Gogo, Zee Nxumalo, Chley & Ceeka"
9,10,Made For Me,Muni Long
10,11,Uhambe Wrongo,"Bandros, Kelvin Momo & Smash Sa Featuring Mr Maker"
11,12,Izenzo,Bassie X Aymos Featuring T-Man SA
12,13,IPlan,Dlala Thukzin Featuring Zaba & Sykes
13,14,Lose Control,Teddy Swims
14,15,Amalobolo,Kelvin Momo & Babalwa M Featruing Stixx & Nia Pearl
15,16,Hit After Hit,Ugatsheni
16,17,Texas Hold 'Em,Beyonce
17,18,Too Sweet,Hozier
18,19,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
19,20,Paris,Mthandeni SK Featuring Lwah Ndlunkulu
20,21,Truth Or Dare,Tyla
21,22,Wenhliziyo Yami,Zwide Featuring Umafikizolo & Umehlabomvu
22,23,Slow It Down,Benson Boone
23,24,We Can't Be Friends (Wait For Your Love),Ariana Grande
24,25,Isgubhu,Sam Deep x Njelic x Aymos
