,Rank,Title,Artist
0,1,Magnetic,ILLIT
1,2,Fate,(G)I-DLE
2,3,Plot Twist,TWS: 24/7:WITH:US
3,4,Do Or Die,Lim Young Woong
4,5,Bam Yang Gang,BIBI
5,6,Easy,LE SSERAFIM
6,7,Grain Of Sand,Lim Young Woong
7,8,Way 4 Luv,PLAVE
8,9,Smart,LE SSERAFIM
9,10,Love Wins All,IU
10,11,Deja Vu,TOMORROW X TOGETHER
11,12,Watch Me Woo!,PLAVE
12,13,Virtual Idol,PLAVE
13,14,Our Movie,PLAVE
14,15,To. X,TAEYEON
15,16,From,PLAVE
16,17,Smoothie,NCT DREAM
17,18,Heavenly Fate,LEE CHANGSUB
18,19,Rhapsody Of Sadness,Jaehyun Lim
19,20,Love Always Run Away,Lim Young Woong
20,21,Time Of Our Life,DAY6
21,22,You Were Beautiful,DAY6
22,23,Seven,Jung Kook Featuring Latto
23,24,"Our Blues, Our Life",Lim Young Woong
24,25,Merry PLLIstmas,PLAVE
