,Rank,Title,Artist
0,1,X'Clusivo,Gonzy
1,2,Fake Love,El Bobe
2,3,Fardos,JC Reyes & De La Ghetto
3,4,Gata Only,FloyyMenor X Cris Mj
4,5,1000COSAS,Lola Indigo & Manuel Turizo
5,6,La Ranger,"Sech, Justin Quiles, Lenny Tavarez, Dalex, Dimelo Flow & Myke Towers"
6,7,Luna,Feid & ATL Jacob
7,8,La Falda,Myke Towers
8,9,Lo Que Tiene,"Morad, Beny Jr & Rvfv"
9,10,BBY BOO,"iZaak, Jhayco & Anuel AA"
10,11,Manos Rotas,DELLAFUENTE & Morad
11,12,El Patio,Pepe:Vizio y Delaossa
12,13,Thalia,Cyril Kamer
13,14,Beautiful Things,Benson Boone
14,15,Trending,Dei V
15,16,Desataaa,"Ovy On The Drums, Myke Towers & Saiko"
16,17,Una Foto,Mesita X NICKI NICOLE X Tiago PZK X Emilia
17,18,La Bachata,Manuel Turizo
18,19,La_Original.mp3,Emilia & TINI
19,20,Vagabundo,"Sebastian Yatra, Manuel Turizo & Beele"
20,21,Casanova,"Soolking, Lola Indigo & Rvfv"
21,22,Columbia,Quevedo
22,23,El Merengue,Marshmello & Manuel Turizo
23,24,Diabolica,Cris Mj Featuring Dei V
24,25,Perro Negro,Bad Bunny & Feid
