,Rank,Title,Artist
0,1,Vem Fan E Du?,Hooja X Miriam Bryant
1,2,Que Sera,Medina
2,3,Jag Onskar Jag Brydde Mig Mer,Hov1
3,4,I Like The Way You Kiss Me,Artemas
4,5,Baerum Bitches (Mannschaft),Sote Og Rare Gutter
5,6,Beautiful Things,Benson Boone
6,7,Unforgettable,Marcus & Martinus
7,8,Texas Hold 'Em,Beyonce
8,9,We Can't Be Friends (Wait For Your Love),Ariana Grande
9,10,Unga & Fria,FROKEN SNUSK
10,11,Halla Mig,Molly Sanden
11,12,End Of Beginning,Djo
12,13,Duktig Tjej,Sarettii
13,14,Person I Noden,ADAAM
14,15,Dor For Dig - Acoustic,C.Gambino
15,16,Heroes Are Calling,Smash Into Pieces
16,17,Djurens Vaggvisa,Humlan Djojj & Josefine Gotest
17,18,Lat Mig Va,VL x Bolaget
18,19,Kite,Benjamin Ingrosso
19,20,Babblarnas Vaggvisa,Babblarna
20,21,Back To My Roots,Jay Smith
21,22,Alla Vill,A36 Featuring estraden
22,23,Soldat,"VC Barre, Pablo Paz & takenoelz"
23,24,30 km/h,Lia Larsson
24,25,Whatever,Kygo With Ava Max
