,Rank,Title,Artist
0,1,I Like The Way You Kiss Me,Artemas
1,2,Beautiful Things,Benson Boone
2,3,Texas Hold 'Em,Beyonce
3,4,Lose Control,Teddy Swims
4,5,End Of Beginning,Djo
5,6,Belong Together,Mark Ambor
6,7,Greedy,Tate McRae
7,8,Stumblin' In,CYRIL
8,9,Overdrive,Ofenbach Featuring Norma Jean Martine
9,10,Prada,"casso, RAYE & D-Block Europe"
10,11,Like That,"Future, Metro Boomin & Kendrick Lamar"
11,12,Another Love,Tom Odell
12,13,Vois Sur Ton Chemin (Techno Mix),BENNETT
13,14,Unwritten,Natasha Bedingfield
14,15,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
15,16,Whatever,Kygo With Ava Max
16,17,We Can't Be Friends (Wait For Your Love),Ariana Grande
17,18,Too Sweet,Hozier
18,19,Si No Estas,Inigo Quintero
19,20,Scared To Start,Michael Marcagi
20,21,Mwaki,ZERB & Sofiya Nzau
21,22,Austin,Dasha
22,23,Slow It Down,Benson Boone
23,24,Thank You (Not So Bad),Dimitri Vegas & Like Mike x Tiesto x W&W & Dido
24,25,Cinderella,"Future, Metro Boomin & Travis Scott"
