,Rank,Title,Artist
0,1,Magnetic,ILLIT
1,2,Farewell,Bestards
2,3,Easy,LE SSERAFIM
3,4,Weather,Joyce & CAsPER
4,5,Fate,(G)I-DLE
5,6,I Hate Myself Sometimes,Patrick Brasca x Howard Lee
6,7,Smart,LE SSERAFIM
7,8,Wo Hui Deng,Cheng Heng
8,9,Perfect Night,LE SSERAFIM
9,10,Sex Tape,OZI & Sunset Rollercoaster
10,11,Seven,Jung Kook Featuring Latto
11,12,Bling-Bang-Bang-Born,Creepy Nuts
12,13,To. X,TAEYEON
13,14,"Red Scarf (""Till We Meet Again"" Movie Theme Song)",WeiBird
14,15,One Spark,TWICE
15,16,Sheesh,BABYMONSTER
16,17,Cruel Summer,Taylor Swift
17,18,Fissure,Kuljelje
18,19,Queencard,(G)I-DLE
19,20,Qi Mei Di,Guo Ding
20,21,Super Lady,(G)I-DLE
21,22,Drama,aespa
22,23,Ge Ai Nai Yi Bai,EggPlantEgg
23,24,Zi Zi Ju Ju,"Lulu, Shut Up"
24,25,We Can't Be Friends (Wait For Your Love),Ariana Grande
