,Rank,Title,Artist
0,1,La,DYSTINCT
1,2,Guli Mata,Saad Lamjarred & Shreya Ghoshal
2,3,Kalam Eneih,Sherine Abdel Wahab
3,4,Al Watar Al Hassas,Sherine Abdel Wahab
4,5,Haygeely Mawgooa,Tamer Ashour
5,6,C'est La Vie,Cheb Khaled
6,7,Sabry Alil,Sherine Abdel Wahab
7,8,Sabran,Al Shami
8,9,Mesytara,Lamis Kan
9,10,Kun Ant,Humood AlKhudher
10,11,Ya Leil W Yal Ein,Al Shami
11,12,Tek Tek,DYSTINCT Featuring MHD
12,13,Itnein Bimaqam Malayeen,Essam Sasa
13,14,Sabb Farhety,"Assala Nasri, Ahmed Saad"
14,15,Fouq,Assala Nasri
15,16,Popo,Stormy
16,17,3 Daqat,Abu (FT. Yusra)
17,18,Shik Shak Shok,Hassan Abou El Suoud
18,19,Tamaly Maak,Amr Diab
19,20,Ya Tabtab,Nancy Ajram
20,21,Woseltelha,Haifa Wehbe
21,22,Fatou Liyam,Cheb Hichem TGV
22,23,Asmrani Eyounoh Samrah,Hussain Al Jassmi
23,24,Arabi,"Mohamed Ramadan, Future,Massari"
24,25,Boshret Kheer,Hussain Al Jassmi
25,26,Mekhasmak,Nawal
26,27,ElBakht,Wegz
27,28,Deira,"Saint Levant, MC Abdul"
28,29,Blue Love,Elgrandetoto
29,30,Kel elwaed,Wael Jassar
30,31,Nasini El Donya,Ragheb Alama
31,32,Ahe Leila,Arkan Fouad
32,33,Y Dor,Soolking (Feat. DYSTINCT)
33,34,Khbr Fezzni,Nabeel Aladeeb
34,35,Ghazali,DYSTINCT (Feat. Bryan Mg)
35,36,Aala Baly,Sherine Abdel Wahab
36,37,Ya zmeely,Muhab
37,38,"Wala (5, 7, 10)",DYSTINCT
38,39,Ymken Kher,Ramy Sabry
39,40,Min Awel Dekika,"Saad Lamjarred, Elissa"
40,41,Mimti,Duke
41,42,Love,Kouz1
42,43,Ya Habibi,"Mohamed Ramadan, Gims"
43,44,Zarzour,Lartiste
44,45,Alo Aleky,Mohammed Saeed
45,46,Ana Elkhela,Mohanad Zaiter
46,47,Bebegim,"Ali471,DYSTINCT"
47,48,El Youm El Helw Dah,Ahmed Saad
48,49,Elghazala Rayaa,"Karim Mahmoud Abdelaziz, Mohamed Osama"
49,50,Etnaset,Muslim
50,51,3achkek Idman,Cheb Hamidou
51,52,Sab3 El3ajayeb,Roro Harb
52,53,Ya Aazem Douar,Cheb Bachir (ft. Akram Mag)
53,54,Wasaa Wasaa,Ahmed Saad
54,55,Dellali,Elgrandetoto (FT. Hamza)
55,56,Asheq Majnoon,Mahmoud Al Turky
56,57,El Sabr Gamil,Maha Ftouni
57,58,Maradona,Stormy
58,59,Away ya habibti wahashtini,Eslam Kabonga
59,60,Rayheen Nesshar - Bum Bum,Mohamed Ramadan
60,61,Alomoom,Shehab
61,62,Lamaallem,Saad Lamjarred
62,63,Ya Layaly,Ahmed Saad (FT. Ruby)
63,64,Dayman Ala Bali,Elissa
64,65,Inta Eyh,Nancy Ajram
65,66,Haba Ganna,Sherine Abdel Wahab
66,67,Ah W Noss,Nancy Ajram
67,68,Razones,Elgrandetoto (FT. Murad)
68,69,Decapotable,Zouhair Bahaoui
69,70,Rouhi,Zouhair Bahaoui
70,71,Men Dounek Ma B3eesh,"Odai Zagha,Anas Abu Sneineh"
71,72,Ya Sidi,Orange Blossom
72,73,Dalaanak,Adel Ebrahim
73,74,Befdiki,Al Shami
74,75,Holm,Emel
75,76,3dabi,Draganov
76,77,Wainek Min Zaman,Yazan Haifawi
77,78,El Kelma El Helwa,Amr Diab
78,79,Hadal Ahbek,Issam Alnajjar
79,80,Satalana,"Abd El Basset Hamouda, Mahmoud Elleithy, Hamdy Batshan, Ali Rabee, Osos"
80,81,Ya Layaly,Sherine Abdel Wahab
81,82,Tegy Nenbeset,Nancy Ajram
82,83,Hekayatna Helwa,Amr Diab
83,84,Mafi Mennik,Aziz Maraka
84,85,Baba Fein,Free Baby
85,86,Beraha Ya Sheekha,Bahaa Sultan
86,87,Khartet Rouhi,Mahmoud AlTurki
87,88,Aleky Eyoun,Ahmed Saad
88,89,Tareq El Andal,Hamada El Laithy & Amr Salama
89,90,Basrah W Atooh,Cairokee
90,91,Zelzal,Wadih El Cheikh
91,92,Alb Fe El Dafater,Muslim
92,93,Ah Ya Alby,Hakim
93,94,Maghribi,Elgrandetoto
94,95,Qusad Einy,Amr Diab
95,96,Albi Ya Albi,Nancy Ajram
96,97,Marthnash,Bahaa Sultan
97,98,Jeet Metaakher,Ramy Gamal
98,99,Khaleny Fe Hodnak,Tamer Ashour
99,100,Matafetch,Marwan Pablo
