,Rank,Title,Artist
0,1,,Sherine Abdel Wahab
1,2,,Amr Diab
2,3,,DYSTINCT
3,4,,Al Shami
4,5,,Nancy Ajram
5,6,,Ahmed Saad
6,7,,Hussain Al Jassmi
7,8,,Elgrandetoto
8,9,,Tamer Ashour
9,10,,Saad Lamjarred
10,11,,Elissa
11,12,,Assala Nasri
12,13,,Stormy
13,14,,Cheb Khaled
14,15,,Ramy Sabry
15,16,,Humood AlKhudher
16,17,,Mohamed Ramadan
17,18,,Muslim
18,19,,Hamza Namira
19,20,,Cairokee
20,21,,Bahaa Sultan
21,22,,Tamer Hosny
22,23,,Lamis Kan
23,24,,Mohamed Hamaki
24,25,,Elyanna
25,26,,Eslam Kabonga
26,27,,Essam Sasa
27,28,,Zouhair Bahaoui
28,29,,Wael Jassar
29,30,,Kouz1
30,31,,Muhab
31,32,,Fadel Chaker
32,33,,Mahmoud AlTurki
33,34,,Haifa Wehbe
34,35,,Fairouz
35,36,,Cheb Hichem TGV
36,37,,Ragheb Alama
37,38,,Hassan Abou El Suoud
38,39,,Bigsam
39,40,,Marwan Pablo
40,41,,Wegz
41,42,,Balti
42,43,,Abu
43,44,,Siilawy
44,45,,Mohanad Zaiter
45,46,,Arkan Fouad
46,47,,Nawal
47,48,,Soolking
48,49,,Draganov
49,50,,Roro Harb
50,51,,Nabeel Aladeeb
51,52,,Abeer Nehme
52,53,,Duke
53,54,,Mohammed Saeed
54,55,,Nordo
55,56,,Hassan Shakosh
56,57,,Lartiste
57,58,,Cheb Hamidou
58,59,,Mahmoud El Leithy
59,60,,Muslim.
60,61,,Hamid El Shaeri
61,62,,Cheb Bachir
62,63,,Nassif Zeytoun
63,64,,Myriam Fares
64,65,,Wael Kfoury
65,66,,Maha Ftouni
66,67,,Yazan Haifawi
67,68,,Shehab
68,69,,Ramy Gamal
69,70,,Aziz Maraka
70,71,,Ruby
71,72,,Emel
72,73,,Fares Sokar
73,74,,Ziad Bourji
74,75,,Marwan Khoury
75,76,,Issam Alnajjar
76,77,,Free Baby
77,78,,Hassan Naseem
78,79,,Mahmoud El Esseily
79,80,,Orange Blossom
80,81,,Rachid Taha
81,82,,Fouad Abdulwahed
82,83,,Samara
83,84,,Hakim
84,85,,Wadih El Cheikh
85,86,,MC Abdul
86,87,,Saint Levant
87,88,,Adel Ebrahim
88,89,,Ameen Khattab
89,90,,Majid Al Mohandis
90,91,,Marwan Moussa
91,92,,Amjad Jomaa
92,93,,Ayed
93,94,,Kawtar
94,95,,El Sawareekh
95,96,,Babylone
96,97,,Abdul Majeed Abdullah
97,98,,Mocci
98,99,,Saber Rebai
99,100,,Masri
