,Rank,Title,Artist
0,1,Lan,Zeynep Bastik
1,2,Dacia X Yatiya (Remix),Lvbel C5 & Melis Kar
2,3,Yoksun,Ebru Yasar X Siyam
3,4,Dogustan Beri Hakliyim (tmm),Lvbel C5
4,5,Batik Gemi,Semicenk
5,6,Bir Imkansiz Var,Emrah Karaduman & Merve Ozbey
6,7,pVg,Motive
7,8,Submariner,Akdo & Lvbel C5
8,9,Kennedy'i Ben Vurdum,Wegh
9,10,Senden Guzeli Mi Var,Emre Fel
10,11,Yakisikli,KOFN & Simge
11,12,Yansima,Derya Ulug & Asil Gok
12,13,Kapak Olsun,"NELLIE, Defkhan & Fredo"
13,14,Yatiya,Melis Kar
14,15,Cehennemin Dibi,Mert Demir
15,16,Yuregim Aglar,Amo988
16,17,Seni Seviyorum,Mert Demir
17,18,Araba,M Lisa
18,19,Hayirli Gunler,Aydin Kurtoglu
19,20,Duldul,Mabel Matiz Featuring Melike Sahin
20,21,Kehribar,Ebru Yasar & Burak Bulut
21,22,Kapali Kapilar,Sefo
22,23,Favorite,Isabel LaRosa
23,24,Aglama Ben Aglarim,Canozan
24,25,Gor Bak,Fatih Bulut & Elmas
