,Rank,Title,Artist
0,1,Texas Hold 'Em,Beyonce
1,2,Beautiful Things,Benson Boone
2,3,Stick Season,Noah Kahan
3,4,Too Sweet,Hozier
4,5,Lose Control,Teddy Swims
5,6,We Can't Be Friends (Wait For Your Love),Ariana Grande
6,7,End Of Beginning,Djo
7,8,I Like The Way You Kiss Me,Artemas
8,9,Jolene,Beyonce
9,10,II Most Wanted,Beyonce & Miley Cyrus
10,11,Like That,"Future, Metro Boomin & Kendrick Lamar"
11,12,Greedy,Tate McRae
12,13,Cruel Summer,Taylor Swift
13,14,Prada,"casso, RAYE & D-Block Europe"
14,15,Scared To Start,Michael Marcagi
15,16,Austin,Dasha
16,17,Training Season,Dua Lipa
17,18,Alibi,Ella Henderson Featuring Rudimental
18,19,Murder On The Dancefloor,Sophie Ellis-Bextor
19,20,Unwritten,Natasha Bedingfield
20,21,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
21,22,"Yes, And?",Ariana Grande
22,23,Obsessed,Olivia Rodrigo
23,24,Bodyguard,Beyonce
24,25,Houdini,Dua Lipa
