audio_features
""
"{'danceability': 0.774, 'energy': 0.86, 'key': 7, 'loudness': -2.888, 'mode': 0, 'speechiness': 0.13, 'acousticness': 0.131, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.446, 'tempo': 100.019, 'type': 'audio_features', 'id': '7bywjHOc0wSjGGbj04XbVi', 'uri': 'spotify:track:7bywjHOc0wSjGGbj04XbVi', 'track_href': 'https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi', 'duration_ms': 196800, 'time_signature': 4}"
""
""
""
"{'danceability': 0.909, 'energy': 0.762, 'key': 9, 'loudness': -3.974, 'mode': 1, 'speechiness': 0.0643, 'acousticness': 0.434, 'instrumentalness': 0, 'liveness': 0.0856, 'valence': 0.843, 'tempo': 101.987, 'type': 'audio_features', 'id': '4bw8mcDUSRWfQo63ZTYRnU', 'uri': 'spotify:track:4bw8mcDUSRWfQo63ZTYRnU', 'track_href': 'https://api.spotify.com/v1/tracks/4bw8mcDUSRWfQo63ZTYRnU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4bw8mcDUSRWfQo63ZTYRnU', 'duration_ms': 142335, 'time_signature': 3}"
"{'danceability': 0.8, 'energy': 0.738, 'key': 7, 'loudness': -4.26, 'mode': 1, 'speechiness': 0.0691, 'acousticness': 0.372, 'instrumentalness': 0.00877, 'liveness': 0.19, 'valence': 0.267, 'tempo': 103.008, 'type': 'audio_features', 'id': '7iUtQNMRB8ZkKC4AmEuCJC', 'uri': 'spotify:track:7iUtQNMRB8ZkKC4AmEuCJC', 'track_href': 'https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC', 'duration_ms': 174230, 'time_signature': 4}"
"{'danceability': 0.777, 'energy': 0.65, 'key': 11, 'loudness': -4.156, 'mode': 0, 'speechiness': 0.213, 'acousticness': 0.128, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.401, 'tempo': 93.051, 'type': 'audio_features', 'id': '32hCeeK3ayPux4UauNPsgA', 'uri': 'spotify:track:32hCeeK3ayPux4UauNPsgA', 'track_href': 'https://api.spotify.com/v1/tracks/32hCeeK3ayPux4UauNPsgA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/32hCeeK3ayPux4UauNPsgA', 'duration_ms': 160040, 'time_signature': 4}"
""
"{'danceability': 0.751, 'energy': 0.819, 'key': 11, 'loudness': -4.372, 'mode': 0, 'speechiness': 0.0409, 'acousticness': 0.255, 'instrumentalness': 0, 'liveness': 0.236, 'valence': 0.697, 'tempo': 131.842, 'type': 'audio_features', 'id': '0R6NfOiLzLj4O5VbYSJAjf', 'uri': 'spotify:track:0R6NfOiLzLj4O5VbYSJAjf', 'track_href': 'https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf', 'duration_ms': 172264, 'time_signature': 3}"
"{'danceability': 0.721, 'energy': 0.782, 'key': 11, 'loudness': -3.51, 'mode': 1, 'speechiness': 0.045, 'acousticness': 0.251, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.77, 'tempo': 90.001, 'type': 'audio_features', 'id': '11PV8CaPqlto9Uejx92C35', 'uri': 'spotify:track:11PV8CaPqlto9Uejx92C35', 'track_href': 'https://api.spotify.com/v1/tracks/11PV8CaPqlto9Uejx92C35', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/11PV8CaPqlto9Uejx92C35', 'duration_ms': 221601, 'time_signature': 4}"
""
