audio_features
"{'danceability': 0.774, 'energy': 0.86, 'key': 7, 'loudness': -2.888, 'mode': 0, 'speechiness': 0.13, 'acousticness': 0.131, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.446, 'tempo': 100.019, 'type': 'audio_features', 'id': '7bywjHOc0wSjGGbj04XbVi', 'uri': 'spotify:track:7bywjHOc0wSjGGbj04XbVi', 'track_href': 'https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi', 'duration_ms': 196800, 'time_signature': 4}"
"{'danceability': 0.726, 'energy': 0.831, 'key': 8, 'loudness': -2.035, 'mode': 0, 'speechiness': 0.12, 'acousticness': 0.0139, 'instrumentalness': 3.71e-06, 'liveness': 0.0891, 'valence': 0.489, 'tempo': 95.997, 'type': 'audio_features', 'id': '7chTH3GBjjAyagf0SPCZDL', 'uri': 'spotify:track:7chTH3GBjjAyagf0SPCZDL', 'track_href': 'https://api.spotify.com/v1/tracks/7chTH3GBjjAyagf0SPCZDL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7chTH3GBjjAyagf0SPCZDL', 'duration_ms': 152500, 'time_signature': 4}"
"{'danceability': 0.911, 'energy': 0.778, 'key': 5, 'loudness': -2.248, 'mode': 1, 'speechiness': 0.262, 'acousticness': 0.0887, 'instrumentalness': 2.16e-05, 'liveness': 0.179, 'valence': 0.345, 'tempo': 96.057, 'type': 'audio_features', 'id': '7iQXYTyuG13aoeHxGG28Nh', 'uri': 'spotify:track:7iQXYTyuG13aoeHxGG28Nh', 'track_href': 'https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh', 'duration_ms': 162768, 'time_signature': 4}"
"{'danceability': 0.909, 'energy': 0.762, 'key': 9, 'loudness': -3.974, 'mode': 1, 'speechiness': 0.0643, 'acousticness': 0.434, 'instrumentalness': 0, 'liveness': 0.0856, 'valence': 0.843, 'tempo': 101.987, 'type': 'audio_features', 'id': '4bw8mcDUSRWfQo63ZTYRnU', 'uri': 'spotify:track:4bw8mcDUSRWfQo63ZTYRnU', 'track_href': 'https://api.spotify.com/v1/tracks/4bw8mcDUSRWfQo63ZTYRnU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4bw8mcDUSRWfQo63ZTYRnU', 'duration_ms': 142335, 'time_signature': 3}"
"{'danceability': 0.751, 'energy': 0.819, 'key': 11, 'loudness': -4.372, 'mode': 0, 'speechiness': 0.0409, 'acousticness': 0.255, 'instrumentalness': 0, 'liveness': 0.236, 'valence': 0.697, 'tempo': 131.842, 'type': 'audio_features', 'id': '0R6NfOiLzLj4O5VbYSJAjf', 'uri': 'spotify:track:0R6NfOiLzLj4O5VbYSJAjf', 'track_href': 'https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf', 'duration_ms': 172264, 'time_signature': 3}"
"{'danceability': 0.92, 'energy': 0.696, 'key': 6, 'loudness': -3.356, 'mode': 0, 'speechiness': 0.0742, 'acousticness': 0.183, 'instrumentalness': 0, 'liveness': 0.149, 'valence': 0.545, 'tempo': 106.966, 'type': 'audio_features', 'id': '505v13epFXodT9fVAJ6h8k', 'uri': 'spotify:track:505v13epFXodT9fVAJ6h8k', 'track_href': 'https://api.spotify.com/v1/tracks/505v13epFXodT9fVAJ6h8k', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/505v13epFXodT9fVAJ6h8k', 'duration_ms': 170480, 'time_signature': 4}"
"{'danceability': 0.916, 'energy': 0.481, 'key': 6, 'loudness': -4.483, 'mode': 0, 'speechiness': 0.194, 'acousticness': 0.0179, 'instrumentalness': 0, 'liveness': 0.121, 'valence': 0.714, 'tempo': 95.998, 'type': 'audio_features', 'id': '05sO6FK8E9l2cfwnEUTjHq', 'uri': 'spotify:track:05sO6FK8E9l2cfwnEUTjHq', 'track_href': 'https://api.spotify.com/v1/tracks/05sO6FK8E9l2cfwnEUTjHq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/05sO6FK8E9l2cfwnEUTjHq', 'duration_ms': 172507, 'time_signature': 4}"
""
"{'danceability': 0.841, 'energy': 0.738, 'key': 7, 'loudness': -7.455, 'mode': 0, 'speechiness': 0.307, 'acousticness': 0.52, 'instrumentalness': 0, 'liveness': 0.0892, 'valence': 0.484, 'tempo': 169.918, 'type': 'audio_features', 'id': '5RqSsdzTNPX1uzkmlHCFvK', 'uri': 'spotify:track:5RqSsdzTNPX1uzkmlHCFvK', 'track_href': 'https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK', 'duration_ms': 172798, 'time_signature': 4}"
"{'danceability': 0.8, 'energy': 0.738, 'key': 7, 'loudness': -4.26, 'mode': 1, 'speechiness': 0.0691, 'acousticness': 0.372, 'instrumentalness': 0.00877, 'liveness': 0.19, 'valence': 0.267, 'tempo': 103.008, 'type': 'audio_features', 'id': '7iUtQNMRB8ZkKC4AmEuCJC', 'uri': 'spotify:track:7iUtQNMRB8ZkKC4AmEuCJC', 'track_href': 'https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC', 'duration_ms': 174230, 'time_signature': 4}"
"{'danceability': 0.798, 'energy': 0.718, 'key': 7, 'loudness': -5.73, 'mode': 0, 'speechiness': 0.0668, 'acousticness': 0.364, 'instrumentalness': 0, 'liveness': 0.731, 'valence': 0.8, 'tempo': 100.003, 'type': 'audio_features', 'id': '0sBVn4NN8VlR9WMmyZ1Cek', 'uri': 'spotify:track:0sBVn4NN8VlR9WMmyZ1Cek', 'track_href': 'https://api.spotify.com/v1/tracks/0sBVn4NN8VlR9WMmyZ1Cek', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0sBVn4NN8VlR9WMmyZ1Cek', 'duration_ms': 181685, 'time_signature': 4}"
""
"{'danceability': 0.685, 'energy': 0.812, 'key': 0, 'loudness': -2.414, 'mode': 1, 'speechiness': 0.057, 'acousticness': 0.201, 'instrumentalness': 0, 'liveness': 0.086, 'valence': 0.739, 'tempo': 173.978, 'type': 'audio_features', 'id': '3DY25d8SrkLEI6Xugzf6tT', 'uri': 'spotify:track:3DY25d8SrkLEI6Xugzf6tT', 'track_href': 'https://api.spotify.com/v1/tracks/3DY25d8SrkLEI6Xugzf6tT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3DY25d8SrkLEI6Xugzf6tT', 'duration_ms': 219359, 'time_signature': 4}"
"{'danceability': 0.801, 'energy': 0.863, 'key': 1, 'loudness': -2.762, 'mode': 1, 'speechiness': 0.229, 'acousticness': 0.245, 'instrumentalness': 1.64e-05, 'liveness': 0.0841, 'valence': 0.819, 'tempo': 124.009, 'type': 'audio_features', 'id': '3LfO04MzTf4EvCOmJrSURh', 'uri': 'spotify:track:3LfO04MzTf4EvCOmJrSURh', 'track_href': 'https://api.spotify.com/v1/tracks/3LfO04MzTf4EvCOmJrSURh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3LfO04MzTf4EvCOmJrSURh', 'duration_ms': 213871, 'time_signature': 4}"
""
"{'danceability': 0.692, 'energy': 0.633, 'key': 7, 'loudness': -3.085, 'mode': 0, 'speechiness': 0.0721, 'acousticness': 0.039, 'instrumentalness': 4.09e-05, 'liveness': 0.118, 'valence': 0.319, 'tempo': 98.088, 'type': 'audio_features', 'id': '2Yc3MHpZ9R5UCIz78E20AQ', 'uri': 'spotify:track:2Yc3MHpZ9R5UCIz78E20AQ', 'track_href': 'https://api.spotify.com/v1/tracks/2Yc3MHpZ9R5UCIz78E20AQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Yc3MHpZ9R5UCIz78E20AQ', 'duration_ms': 90613, 'time_signature': 4}"
"{'danceability': 0.835, 'energy': 0.679, 'key': 7, 'loudness': -5.329, 'mode': 0, 'speechiness': 0.0364, 'acousticness': 0.583, 'instrumentalness': 1.98e-06, 'liveness': 0.218, 'valence': 0.85, 'tempo': 124.98, 'type': 'audio_features', 'id': '3tt9i3Hhzq84dPS8H7iSiJ', 'uri': 'spotify:track:3tt9i3Hhzq84dPS8H7iSiJ', 'track_href': 'https://api.spotify.com/v1/tracks/3tt9i3Hhzq84dPS8H7iSiJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3tt9i3Hhzq84dPS8H7iSiJ', 'duration_ms': 162638, 'time_signature': 4}"
"{'danceability': 0.778, 'energy': 0.835, 'key': 11, 'loudness': -3.598, 'mode': 0, 'speechiness': 0.0767, 'acousticness': 0.152, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.666, 'tempo': 140.082, 'type': 'audio_features', 'id': '5XVdHRf4CAJ2Jm0uMIy5qY', 'uri': 'spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY', 'track_href': 'https://api.spotify.com/v1/tracks/5XVdHRf4CAJ2Jm0uMIy5qY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5XVdHRf4CAJ2Jm0uMIy5qY', 'duration_ms': 156346, 'time_signature': 4}"
""
"{'danceability': 0.709, 'energy': 0.56, 'key': 4, 'loudness': -4.867, 'mode': 0, 'speechiness': 0.171, 'acousticness': 0.034, 'instrumentalness': 0, 'liveness': 0.315, 'valence': 0.541, 'tempo': 170.082, 'type': 'audio_features', 'id': '0T2pB7P1VdXPhLdQZ488uH', 'uri': 'spotify:track:0T2pB7P1VdXPhLdQZ488uH', 'track_href': 'https://api.spotify.com/v1/tracks/0T2pB7P1VdXPhLdQZ488uH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0T2pB7P1VdXPhLdQZ488uH', 'duration_ms': 171880, 'time_signature': 4}"
"{'danceability': 0.536, 'energy': 0.396, 'key': 10, 'loudness': -7.804, 'mode': 1, 'speechiness': 0.0687, 'acousticness': 0.604, 'instrumentalness': 6.97e-05, 'liveness': 0.0969, 'valence': 0.491, 'tempo': 157.846, 'type': 'audio_features', 'id': '0XwjtljTgkheFyOaFPniPW', 'uri': 'spotify:track:0XwjtljTgkheFyOaFPniPW', 'track_href': 'https://api.spotify.com/v1/tracks/0XwjtljTgkheFyOaFPniPW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0XwjtljTgkheFyOaFPniPW', 'duration_ms': 186456, 'time_signature': 3}"
"{'danceability': 0.634, 'energy': 0.725, 'key': 5, 'loudness': -4.945, 'mode': 0, 'speechiness': 0.0587, 'acousticness': 0.0776, 'instrumentalness': 0, 'liveness': 0.211, 'valence': 0.795, 'tempo': 159.845, 'type': 'audio_features', 'id': '54zcJnb3tp9c5OVKREZ1Is', 'uri': 'spotify:track:54zcJnb3tp9c5OVKREZ1Is', 'track_href': 'https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/54zcJnb3tp9c5OVKREZ1Is', 'duration_ms': 154375, 'time_signature': 4}"
"{'danceability': 0.865, 'energy': 0.573, 'key': 5, 'loudness': -5.501, 'mode': 1, 'speechiness': 0.0678, 'acousticness': 0.0863, 'instrumentalness': 0, 'liveness': 0.305, 'valence': 0.563, 'tempo': 94.999, 'type': 'audio_features', 'id': '2CeKVsFFXG4QzA415QygGb', 'uri': 'spotify:track:2CeKVsFFXG4QzA415QygGb', 'track_href': 'https://api.spotify.com/v1/tracks/2CeKVsFFXG4QzA415QygGb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2CeKVsFFXG4QzA415QygGb', 'duration_ms': 155960, 'time_signature': 4}"
"{'danceability': 0.846, 'energy': 0.738, 'key': 3, 'loudness': -4.537, 'mode': 0, 'speechiness': 0.0803, 'acousticness': 0.234, 'instrumentalness': 0, 'liveness': 0.0987, 'valence': 0.949, 'tempo': 102.978, 'type': 'audio_features', 'id': '1S2WWT5jW9J3MauQ7r7qN4', 'uri': 'spotify:track:1S2WWT5jW9J3MauQ7r7qN4', 'track_href': 'https://api.spotify.com/v1/tracks/1S2WWT5jW9J3MauQ7r7qN4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1S2WWT5jW9J3MauQ7r7qN4', 'duration_ms': 266616, 'time_signature': 4}"
""
