audio_features
""
"{'danceability': 0.689, 'energy': 0.454, 'key': 2, 'loudness': -7.643, 'mode': 1, 'speechiness': 0.0584, 'acousticness': 0.0351, 'instrumentalness': 0.00259, 'liveness': 0.0707, 'valence': 0.912, 'tempo': 159.982, 'type': 'audio_features', 'id': '3qhlB30KknSejmIvZZLjOD', 'uri': 'spotify:track:3qhlB30KknSejmIvZZLjOD', 'track_href': 'https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD', 'duration_ms': 159246, 'time_signature': 4}"
"{'danceability': 0.614, 'energy': 0.493, 'key': 0, 'loudness': -5.356, 'mode': 1, 'speechiness': 0.0314, 'acousticness': 0.0676, 'instrumentalness': 0, 'liveness': 0.113, 'valence': 0.176, 'tempo': 94.784, 'type': 'audio_features', 'id': '6EIMUjQ7Q8Zr2VtIUik4He', 'uri': 'spotify:track:6EIMUjQ7Q8Zr2VtIUik4He', 'track_href': 'https://api.spotify.com/v1/tracks/6EIMUjQ7Q8Zr2VtIUik4He', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6EIMUjQ7Q8Zr2VtIUik4He', 'duration_ms': 187263, 'time_signature': 3}"
"{'danceability': 0.501, 'energy': 0.373, 'key': 10, 'loudness': -9.488, 'mode': 1, 'speechiness': 0.0493, 'acousticness': 0.671, 'instrumentalness': 0, 'liveness': 0.177, 'valence': 0.38, 'tempo': 84.682, 'type': 'audio_features', 'id': '2o1pb13quMReXZqE7jWsgq', 'uri': 'spotify:track:2o1pb13quMReXZqE7jWsgq', 'track_href': 'https://api.spotify.com/v1/tracks/2o1pb13quMReXZqE7jWsgq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2o1pb13quMReXZqE7jWsgq', 'duration_ms': 92400, 'time_signature': 4}"
"{'danceability': 0.509, 'energy': 0.359, 'key': 2, 'loudness': -8.993, 'mode': 1, 'speechiness': 0.0279, 'acousticness': 0.879, 'instrumentalness': 0.0289, 'liveness': 0.19, 'valence': 0.329, 'tempo': 155.799, 'type': 'audio_features', 'id': '7F4tV8SiUy6itZTdAzdafO', 'uri': 'spotify:track:7F4tV8SiUy6itZTdAzdafO', 'track_href': 'https://api.spotify.com/v1/tracks/7F4tV8SiUy6itZTdAzdafO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7F4tV8SiUy6itZTdAzdafO', 'duration_ms': 260346, 'time_signature': 4}"
"{'danceability': 0.797, 'energy': 0.668, 'key': 6, 'loudness': -5.819, 'mode': 1, 'speechiness': 0.0687, 'acousticness': 0.257, 'instrumentalness': 0, 'liveness': 0.0876, 'valence': 0.69, 'tempo': 131.067, 'type': 'audio_features', 'id': '1aKvZDoLGkNMxoRYgkckZG', 'uri': 'spotify:track:1aKvZDoLGkNMxoRYgkckZG', 'track_href': 'https://api.spotify.com/v1/tracks/1aKvZDoLGkNMxoRYgkckZG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1aKvZDoLGkNMxoRYgkckZG', 'duration_ms': 160688, 'time_signature': 4}"
"{'danceability': 0.774, 'energy': 0.728, 'key': 2, 'loudness': -5.079, 'mode': 1, 'speechiness': 0.169, 'acousticness': 0.113, 'instrumentalness': 0, 'liveness': 0.0473, 'valence': 0.461, 'tempo': 140.041, 'type': 'audio_features', 'id': '1njlnn8ZKHI77Pe9szIONR', 'uri': 'spotify:track:1njlnn8ZKHI77Pe9szIONR', 'track_href': 'https://api.spotify.com/v1/tracks/1njlnn8ZKHI77Pe9szIONR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1njlnn8ZKHI77Pe9szIONR', 'duration_ms': 170357, 'time_signature': 4}"
"{'danceability': 0.614, 'energy': 0.438, 'key': 2, 'loudness': -5.737, 'mode': 1, 'speechiness': 0.0433, 'acousticness': 0.802, 'instrumentalness': 0, 'liveness': 0.213, 'valence': 0.302, 'tempo': 126.0, 'type': 'audio_features', 'id': '2lMQOAKPam2JVEfNsZtWDe', 'uri': 'spotify:track:2lMQOAKPam2JVEfNsZtWDe', 'track_href': 'https://api.spotify.com/v1/tracks/2lMQOAKPam2JVEfNsZtWDe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2lMQOAKPam2JVEfNsZtWDe', 'duration_ms': 179841, 'time_signature': 4}"
"{'danceability': 0.522, 'energy': 0.641, 'key': 8, 'loudness': -6.287, 'mode': 1, 'speechiness': 0.0318, 'acousticness': 0.0545, 'instrumentalness': 0, 'liveness': 0.162, 'valence': 0.202, 'tempo': 87.51, 'type': 'audio_features', 'id': '7CyPwkp0oE8Ro9Dd5CUDjW', 'uri': 'spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW', 'track_href': 'https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW', 'duration_ms': 244685, 'time_signature': 4}"
"{'danceability': 0.506, 'energy': 0.438, 'key': 5, 'loudness': -7.069, 'mode': 1, 'speechiness': 0.0268, 'acousticness': 0.759, 'instrumentalness': 8.64e-06, 'liveness': 0.109, 'valence': 0.178, 'tempo': 129.538, 'type': 'audio_features', 'id': '26cvTWJq2E1QqN4jyH2OTU', 'uri': 'spotify:track:26cvTWJq2E1QqN4jyH2OTU', 'track_href': 'https://api.spotify.com/v1/tracks/26cvTWJq2E1QqN4jyH2OTU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/26cvTWJq2E1QqN4jyH2OTU', 'duration_ms': 231100, 'time_signature': 4}"
"{'danceability': 0.552, 'energy': 0.702, 'key': 9, 'loudness': -5.707, 'mode': 1, 'speechiness': 0.157, 'acousticness': 0.117, 'instrumentalness': 2.06e-05, 'liveness': 0.105, 'valence': 0.564, 'tempo': 169.994, 'type': 'audio_features', 'id': '1BxfuPKGuaTgP7aM0Bbdwr', 'uri': 'spotify:track:1BxfuPKGuaTgP7aM0Bbdwr', 'track_href': 'https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr', 'duration_ms': 178427, 'time_signature': 4}"
"{'danceability': 0.44, 'energy': 0.389, 'key': 5, 'loudness': -6.412, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.795, 'instrumentalness': 1.91e-05, 'liveness': 0.149, 'valence': 0.176, 'tempo': 116.839, 'type': 'audio_features', 'id': '6XKEElbr3cWmnUw6a5HRBV', 'uri': 'spotify:track:6XKEElbr3cWmnUw6a5HRBV', 'track_href': 'https://api.spotify.com/v1/tracks/6XKEElbr3cWmnUw6a5HRBV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6XKEElbr3cWmnUw6a5HRBV', 'duration_ms': 244138, 'time_signature': 4}"
